symbol,fundingTime,fundingRate,markPrice,rateType
AMZNUSDT,2026-02-06 16:00:00.001,0.0,204.10030000,Regular
AMZNUSDT,2026-02-07 00:00:00.001,0.0,209.69750000,Regular
AMZNUSDT,2026-02-07 08:00:00.001,0.0,209.92135350,Regular
AMZNUSDT,2026-02-07 16:00:00.002,0.0,209.92135350,Regular
AMZNUSDT,2026-02-08 00:00:00.001,0.0,209.92135350,Regular
AMZNUSDT,2026-02-08 08:00:00.002,0.0,209.92135350,Regular
AMZNUSDT,2026-02-08 16:00:00.001,0.0,209.92135350,Regular
AMZNUSDT,2026-02-09 00:00:00.001,0.0,209.92135350,Regular
AMZNUSDT,2026-02-09 08:00:00.001,0.0,211.87625000,Regular
AMZNUSDT,2026-02-09 16:00:00.001,0.0,209.12154947,Regular
AMZNUSDT,2026-02-10 00:00:00.002,0.0,208.97835647,Regular
AMZNUSDT,2026-02-10 08:00:00.001,0.0,209.40000000,Regular
AMZNUSDT,2026-02-10 16:00:00.001,0.0,210.90203010,Regular
AMZNUSDT,2026-02-11 00:00:00.001,0.0,207.81000000,Regular
AMZNUSDT,2026-02-11 08:00:00.001,0.0,207.74000000,Regular
AMZNUSDT,2026-02-11 16:00:00.001,0.0,205.68867569,Regular
AMZNUSDT,2026-02-12 00:00:00.001,0.0,204.37000000,Regular
AMZNUSDT,2026-02-12 08:00:00.001,0.0,205.09094583,Regular
AMZNUSDT,2026-02-12 16:00:00.001,0.0,198.44000000,Regular
AMZNUSDT,2026-02-13 00:00:00.001,0.0,199.34661667,Regular
AMZNUSDT,2026-02-13 08:00:00.001,0.0,199.01209677,Regular
AMZNUSDT,2026-02-13 16:00:00.001,5.887e-05,198.96658958,Regular
AMZNUSDT,2026-02-14 00:00:00.001,0.00019358,198.77000000,Regular
AMZNUSDT,2026-02-14 08:00:00.001,0.0,198.77450350,Regular
AMZNUSDT,2026-02-14 16:00:00.001,0.0,198.90040563,Regular
AMZNUSDT,2026-02-15 00:00:00.001,0.0,198.99582053,Regular
AMZNUSDT,2026-02-15 08:00:00.001,0.0,198.87734207,Regular
AMZNUSDT,2026-02-15 16:00:00.001,0.00016863,199.13099276,Regular
AMZNUSDT,2026-02-16 00:00:00.001,0.0,199.02744717,Regular
AMZNUSDT,2026-02-16 08:00:00.001,0.00084421,199.25403600,Regular
AMZNUSDT,2026-02-16 16:00:00.001,0.00095501,198.87358618,Regular
AMZNUSDT,2026-02-17 00:00:00.001,0.00126909,199.32276119,Regular
AMZNUSDT,2026-02-17 08:00:00.001,0.0,199.00790645,Regular
AMZNUSDT,2026-02-17 16:00:00.001,0.0,200.20597047,Regular
AMZNUSDT,2026-02-18 00:00:00.001,0.0,200.82594292,Regular
AMZNUSDT,2026-02-18 08:00:00.001,0.0,202.30106823,Regular
AMZNUSDT,2026-02-18 16:00:00.001,0.0,206.58000000,Regular
AMZNUSDT,2026-02-19 00:00:00.001,0.0,205.33487868,Regular
AMZNUSDT,2026-02-19 08:00:00.001,0.0,205.86003355,Regular
AMZNUSDT,2026-02-19 16:00:00.001,0.0,204.64000000,Regular
AMZNUSDT,2026-02-20 00:00:00.001,5.565e-05,205.20851305,Regular
AMZNUSDT,2026-02-20 08:00:00.002,0.0,205.72323516,Regular
AMZNUSDT,2026-02-20 16:00:00.001,0.00022805,211.14000000,Regular
AMZNUSDT,2026-02-21 00:00:00.001,0.00025812,210.09000000,Regular
AMZNUSDT,2026-02-21 08:00:00.001,0.00029217,210.30179924,Regular
AMZNUSDT,2026-02-21 16:00:00.001,0.00016503,210.26257094,Regular
AMZNUSDT,2026-02-22 00:00:00.001,0.00032237,210.37082621,Regular
AMZNUSDT,2026-02-22 08:00:00.001,0.00054535,210.38181171,Regular
