symbol,fundingTime,fundingRate,markPrice,rateType
BTCUSDT,2023-09-14 16:00:00.000,-4.748e-05,,Regular
BTCUSDT,2023-09-15 00:00:00.000,-2.641e-05,,Regular
BTCUSDT,2023-09-15 08:00:00.000,-7.61e-06,,Regular
BTCUSDT,2023-09-15 16:00:00.000,7.561e-05,,Regular
BTCUSDT,2023-09-16 00:00:00.000,-1.381e-05,,Regular
BTCUSDT,2023-09-16 08:00:00.000,-4.32e-05,,Regular
BTCUSDT,2023-09-16 16:00:00.000,-3.161e-05,,Regular
BTCUSDT,2023-09-17 00:00:00.000,8.97e-06,,Regular
BTCUSDT,2023-09-17 08:00:00.000,1.142e-05,,Regular
BTCUSDT,2023-09-17 16:00:00.000,6.49e-06,,Regular
BTCUSDT,2023-09-18 00:00:00.000,-5.08e-06,,Regular
BTCUSDT,2023-09-18 08:00:00.000,5.79e-06,,Regular
BTCUSDT,2023-09-18 16:00:00.000,-6.774e-05,,Regular
BTCUSDT,2023-09-19 00:00:00.000,2.468e-05,,Regular
BTCUSDT,2023-09-19 08:00:00.001,-1.972e-05,,Regular
BTCUSDT,2023-09-19 16:00:00.000,-1.756e-05,,Regular
BTCUSDT,2023-09-20 00:00:00.000,-2.614e-05,,Regular
BTCUSDT,2023-09-20 08:00:00.000,-3.777e-05,,Regular
BTCUSDT,2023-09-20 16:00:00.000,-9.91e-06,,Regular
BTCUSDT,2023-09-21 00:00:00.001,-2.9e-07,,Regular
BTCUSDT,2023-09-21 08:00:00.000,4.303e-05,,Regular
BTCUSDT,2023-09-21 16:00:00.000,7.429e-05,,Regular
BTCUSDT,2023-09-22 00:00:00.000,-6.2e-07,,Regular
BTCUSDT,2023-09-22 08:00:00.000,1.034e-05,,Regular
BTCUSDT,2023-09-22 16:00:00.000,2.136e-05,,Regular
BTCUSDT,2023-09-23 00:00:00.000,6.676e-05,,Regular
BTCUSDT,2023-09-23 08:00:00.000,1.556e-05,,Regular
BTCUSDT,2023-09-23 16:00:00.000,2.09e-06,,Regular
BTCUSDT,2023-09-24 00:00:00.000,-1.392e-05,,Regular
BTCUSDT,2023-09-24 08:00:00.000,4.721e-05,,Regular
BTCUSDT,2023-09-24 16:00:00.000,2.887e-05,,Regular
BTCUSDT,2023-09-25 00:00:00.000,-1.26e-05,,Regular
BTCUSDT,2023-09-25 08:00:00.000,8.565e-05,,Regular
BTCUSDT,2023-09-25 16:00:00.000,4.792e-05,,Regular
BTCUSDT,2023-09-26 00:00:00.000,-3.91e-05,,Regular
BTCUSDT,2023-09-26 08:00:00.000,-1.215e-05,,Regular
BTCUSDT,2023-09-26 16:00:00.000,5.626e-05,,Regular
BTCUSDT,2023-09-27 00:00:00.000,9.944e-05,,Regular
BTCUSDT,2023-09-27 08:00:00.001,3.378e-05,,Regular
BTCUSDT,2023-09-27 16:00:00.000,2.074e-05,,Regular
BTCUSDT,2023-09-28 00:00:00.000,6.74e-06,,Regular
BTCUSDT,2023-09-28 08:00:00.000,-1.581e-05,,Regular
BTCUSDT,2023-09-28 16:00:00.000,-4.732e-05,,Regular
BTCUSDT,2023-09-29 00:00:00.000,-3.894e-05,,Regular
BTCUSDT,2023-09-29 08:00:00.000,-2.567e-05,,Regular
BTCUSDT,2023-09-29 16:00:00.000,4.76e-06,,Regular
BTCUSDT,2023-09-30 00:00:00.000,6.43e-06,,Regular
BTCUSDT,2023-09-30 08:00:00.000,1.864e-05,,Regular
BTCUSDT,2023-09-30 16:00:00.000,1.525e-05,,Regular
BTCUSDT,2023-10-01 00:00:00.000,2.95e-06,,Regular
BTCUSDT,2023-10-01 08:00:00.000,-6.19e-06,,Regular
BTCUSDT,2023-10-01 16:00:00.000,-2.263e-05,,Regular
BTCUSDT,2023-10-02 00:00:00.000,5.831e-05,,Regular
BTCUSDT,2023-10-02 08:00:00.000,7.28e-06,,Regular
BTCUSDT,2023-10-02 16:00:00.000,-1.477e-05,,Regular
BTCUSDT,2023-10-03 00:00:00.000,4.172e-05,,Regular
BTCUSDT,2023-10-03 08:00:00.000,1.667e-05,,Regular
BTCUSDT,2023-10-03 16:00:00.000,2.5e-05,,Regular
BTCUSDT,2023-10-04 00:00:00.000,6.031e-05,,Regular
BTCUSDT,2023-10-04 08:00:00.000,6.2e-05,,Regular
BTCUSDT,2023-10-04 16:00:00.000,-2.857e-05,,Regular
BTCUSDT,2023-10-05 00:00:00.000,-3.807e-05,,Regular
BTCUSDT,2023-10-05 08:00:00.000,-4.268e-05,,Regular
BTCUSDT,2023-10-05 16:00:00.001,-2.302e-05,,Regular
BTCUSDT,2023-10-06 00:00:00.000,-1.106e-05,,Regular
BTCUSDT,2023-10-06 08:00:00.000,1.436e-05,,Regular
BTCUSDT,2023-10-06 16:00:00.000,-3.149e-05,,Regular
BTCUSDT,2023-10-07 00:00:00.000,2.124e-05,,Regular
BTCUSDT,2023-10-07 08:00:00.000,2.849e-05,,Regular
BTCUSDT,2023-10-07 16:00:00.000,2.083e-05,,Regular
BTCUSDT,2023-10-08 00:00:00.000,3.14e-06,,Regular
BTCUSDT,2023-10-08 08:00:00.001,9.74e-06,,Regular
BTCUSDT,2023-10-08 16:00:00.000,5.163e-05,,Regular
BTCUSDT,2023-10-09 00:00:00.000,3.992e-05,,Regular
BTCUSDT,2023-10-09 08:00:00.000,3.515e-05,,Regular
BTCUSDT,2023-10-09 16:00:00.000,7.838e-05,,Regular
BTCUSDT,2023-10-10 00:00:00.000,6.349e-05,,Regular
BTCUSDT,2023-10-10 08:00:00.000,1.894e-05,,Regular
BTCUSDT,2023-10-10 16:00:00.000,4.548e-05,,Regular
BTCUSDT,2023-10-11 00:00:00.000,5.918e-05,,Regular
BTCUSDT,2023-10-11 08:00:00.000,8.33e-05,,Regular
BTCUSDT,2023-10-11 16:00:00.000,6.319e-05,,Regular
BTCUSDT,2023-10-12 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-12 08:00:00.000,2.661e-05,,Regular
BTCUSDT,2023-10-12 16:00:00.000,7.304e-05,,Regular
BTCUSDT,2023-10-13 00:00:00.000,2.294e-05,,Regular
BTCUSDT,2023-10-13 08:00:00.000,2.039e-05,,Regular
BTCUSDT,2023-10-13 16:00:00.000,2.326e-05,,Regular
BTCUSDT,2023-10-14 00:00:00.000,1.05e-06,,Regular
BTCUSDT,2023-10-14 08:00:00.000,2.211e-05,,Regular
BTCUSDT,2023-10-14 16:00:00.000,2.456e-05,,Regular
BTCUSDT,2023-10-15 00:00:00.000,-1.509e-05,,Regular
BTCUSDT,2023-10-15 08:00:00.000,4.292e-05,,Regular
BTCUSDT,2023-10-15 16:00:00.000,2.224e-05,,Regular
BTCUSDT,2023-10-16 00:00:00.000,5.11e-06,,Regular
BTCUSDT,2023-10-16 08:00:00.000,2.8e-07,,Regular
BTCUSDT,2023-10-16 16:00:00.000,9.644e-05,,Regular
BTCUSDT,2023-10-17 00:00:00.000,2.04e-06,,Regular
BTCUSDT,2023-10-17 08:00:00.000,1.493e-05,,Regular
BTCUSDT,2023-10-17 16:00:00.000,-2.311e-05,,Regular
BTCUSDT,2023-10-18 00:00:00.000,-3.343e-05,,Regular
BTCUSDT,2023-10-18 08:00:00.000,-1.216e-05,,Regular
BTCUSDT,2023-10-18 16:00:00.000,1.644e-05,,Regular
BTCUSDT,2023-10-19 00:00:00.000,-1.028e-05,,Regular
BTCUSDT,2023-10-19 08:00:00.001,-6.24e-06,,Regular
BTCUSDT,2023-10-19 16:00:00.000,-0.00011006,,Regular
BTCUSDT,2023-10-20 00:00:00.000,-9.272e-05,,Regular
BTCUSDT,2023-10-20 08:00:00.005,1.938e-05,,Regular
BTCUSDT,2023-10-20 16:00:00.000,2.687e-05,,Regular
BTCUSDT,2023-10-21 00:00:00.000,-1.585e-05,,Regular
BTCUSDT,2023-10-21 08:00:00.000,4.374e-05,,Regular
BTCUSDT,2023-10-21 16:00:00.000,5.827e-05,,Regular
BTCUSDT,2023-10-22 00:00:00.000,2.567e-05,,Regular
BTCUSDT,2023-10-22 08:00:00.000,2.579e-05,,Regular
BTCUSDT,2023-10-22 16:00:00.000,3.115e-05,,Regular
BTCUSDT,2023-10-23 00:00:00.000,8.25e-05,,Regular
BTCUSDT,2023-10-23 08:00:00.001,9.59e-05,,Regular
BTCUSDT,2023-10-23 16:00:00.001,6.48e-06,,Regular
BTCUSDT,2023-10-24 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-24 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-24 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-25 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-25 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-25 16:00:00.001,0.0001,,Regular
BTCUSDT,2023-10-26 00:00:00.001,0.0001,,Regular
BTCUSDT,2023-10-26 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-26 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-27 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-27 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-27 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-28 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-28 08:00:00.001,0.0001,,Regular
BTCUSDT,2023-10-28 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-29 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-29 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-29 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-30 00:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-30 08:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-30 16:00:00.000,0.0001,,Regular
BTCUSDT,2023-10-31 00:00:00.001,0.0001,,Regular
BTCUSDT,2023-10-31 08:00:00.000,0.0001,34149.46365245,Regular
BTCUSDT,2023-10-31 16:00:00.000,0.0001,34287.54619963,Regular
BTCUSDT,2023-11-01 00:00:00.000,0.0001,34651.40000000,Regular
BTCUSDT,2023-11-01 08:00:00.000,0.0001,34462.70000000,Regular
BTCUSDT,2023-11-01 16:00:00.000,0.0001,34297.00000000,Regular
BTCUSDT,2023-11-02 00:00:00.001,0.0001,35437.50000000,Regular
BTCUSDT,2023-11-02 08:00:00.000,0.0001,35280.70000000,Regular
BTCUSDT,2023-11-02 16:00:00.000,0.0001,34642.61247985,Regular
BTCUSDT,2023-11-03 00:00:00.000,0.0001,34937.66351648,Regular
BTCUSDT,2023-11-03 08:00:00.000,0.0001,34469.05403297,Regular
BTCUSDT,2023-11-03 16:00:00.000,0.0001,34760.80585567,Regular
BTCUSDT,2023-11-04 00:00:00.000,0.0001,34702.10537801,Regular
BTCUSDT,2023-11-04 08:00:00.000,0.0001,34759.10000000,Regular
BTCUSDT,2023-11-04 16:00:00.000,0.0001,34709.63381443,Regular
BTCUSDT,2023-11-05 00:00:00.000,0.0001,35070.25307143,Regular
BTCUSDT,2023-11-05 08:00:00.000,0.0001,35175.40000000,Regular
BTCUSDT,2023-11-05 16:00:00.000,0.0001,34893.90000000,Regular
BTCUSDT,2023-11-06 00:00:00.000,0.0001,35025.50000000,Regular
BTCUSDT,2023-11-06 08:00:00.001,0.0001,34918.50000000,Regular
BTCUSDT,2023-11-06 16:00:00.000,0.0001,35085.27989377,Regular
BTCUSDT,2023-11-07 00:00:00.001,0.0001,35056.66628082,Regular
BTCUSDT,2023-11-07 08:00:00.000,0.0001,34947.30000000,Regular
BTCUSDT,2023-11-07 16:00:00.000,0.0001,34726.93986667,Regular
BTCUSDT,2023-11-08 00:00:00.000,0.0001,35407.40000000,Regular
BTCUSDT,2023-11-08 08:00:00.000,0.0001,35239.50000000,Regular
BTCUSDT,2023-11-08 16:00:00.000,0.0001,35231.30000000,Regular
BTCUSDT,2023-11-09 00:00:00.000,0.0001,35630.54451373,Regular
BTCUSDT,2023-11-09 08:00:00.000,0.0001,36552.00000000,Regular
BTCUSDT,2023-11-09 16:00:00.000,0.00020027,37133.04096275,Regular
BTCUSDT,2023-11-10 00:00:00.000,0.0001,36713.69408039,Regular
BTCUSDT,2023-11-10 08:00:00.000,0.00011682,36477.27099789,Regular
BTCUSDT,2023-11-10 16:00:00.000,0.0001,37092.50000000,Regular
BTCUSDT,2023-11-11 00:00:00.000,0.0001,37326.19194118,Regular
BTCUSDT,2023-11-11 08:00:00.000,0.00016607,37030.40000000,Regular
BTCUSDT,2023-11-11 16:00:00.000,0.00014648,37070.40000000,Regular
BTCUSDT,2023-11-12 00:00:00.000,0.0001543,37162.00000000,Regular
BTCUSDT,2023-11-12 08:00:00.000,0.00023487,37154.10000000,Regular
BTCUSDT,2023-11-12 16:00:00.001,0.00027221,37178.20000000,Regular
BTCUSDT,2023-11-13 00:00:00.000,0.00032467,37086.11364510,Regular
BTCUSDT,2023-11-13 08:00:00.000,0.00010893,36982.50000000,Regular
BTCUSDT,2023-11-13 16:00:00.000,0.00020492,36869.75723137,Regular
BTCUSDT,2023-11-14 00:00:00.000,0.00017382,36484.23073840,Regular
BTCUSDT,2023-11-14 08:00:00.000,0.00016369,36705.50000000,Regular
BTCUSDT,2023-11-14 16:00:00.001,0.00014477,36162.79747255,Regular
BTCUSDT,2023-11-15 00:00:00.000,0.0001,35560.60000000,Regular
BTCUSDT,2023-11-15 08:00:00.000,0.0001,35596.70000000,Regular
BTCUSDT,2023-11-15 16:00:00.000,0.0001,36415.64025773,Regular
BTCUSDT,2023-11-16 00:00:00.000,0.0001,37885.71403952,Regular
BTCUSDT,2023-11-16 08:00:00.000,0.00015199,37460.60000000,Regular
BTCUSDT,2023-11-16 16:00:00.001,0.00012014,36420.00000000,Regular
BTCUSDT,2023-11-17 00:00:00.000,0.0001,36172.50061684,Regular
BTCUSDT,2023-11-17 08:00:00.001,0.0001,36248.93589863,Regular
BTCUSDT,2023-11-17 16:00:00.001,0.0001,36059.00000000,Regular
BTCUSDT,2023-11-18 00:00:00.000,0.0001,36622.00000000,Regular
BTCUSDT,2023-11-18 08:00:00.000,0.0001,36424.88688316,Regular
BTCUSDT,2023-11-18 16:00:00.000,0.0001,36671.96767869,Regular
BTCUSDT,2023-11-19 00:00:00.000,0.0001,36575.50541573,Regular
BTCUSDT,2023-11-19 08:00:00.000,0.0001,36618.89655326,Regular
BTCUSDT,2023-11-19 16:00:00.000,0.0001,36575.10000000,Regular
BTCUSDT,2023-11-20 00:00:00.000,0.0001,37375.80000000,Regular
BTCUSDT,2023-11-20 08:00:00.000,0.0001,37259.90000000,Regular
BTCUSDT,2023-11-20 16:00:00.000,0.0001,37476.60000000,Regular
BTCUSDT,2023-11-21 00:00:00.000,0.0001,37465.47965292,Regular
BTCUSDT,2023-11-21 08:00:00.000,0.0001,37290.96343471,Regular
BTCUSDT,2023-11-21 16:00:00.000,0.0001,36978.81670103,Regular
BTCUSDT,2023-11-22 00:00:00.000,0.0001,35745.39198625,Regular
BTCUSDT,2023-11-22 08:00:00.000,0.0001,36435.97590206,Regular
BTCUSDT,2023-11-22 16:00:00.000,0.0001,36480.85577320,Regular
BTCUSDT,2023-11-23 00:00:00.000,0.0001,37411.23448797,Regular
BTCUSDT,2023-11-23 08:00:00.000,0.0001,37378.50000000,Regular
