symbol,fundingTime,fundingRate,markPrice,rateType
DOGEUSDT,2023-09-14 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-15 00:00:00.000,1.734e-05,,Regular
DOGEUSDT,2023-09-15 08:00:00.000,7.941e-05,,Regular
DOGEUSDT,2023-09-15 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-16 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-16 08:00:00.000,6.625e-05,,Regular
DOGEUSDT,2023-09-16 16:00:00.000,-6.121e-05,,Regular
DOGEUSDT,2023-09-17 00:00:00.000,3.184e-05,,Regular
DOGEUSDT,2023-09-17 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-17 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-18 00:00:00.000,-5.001e-05,,Regular
DOGEUSDT,2023-09-18 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-18 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-19 00:00:00.000,-5.57e-06,,Regular
DOGEUSDT,2023-09-19 08:00:00.001,0.0001,,Regular
DOGEUSDT,2023-09-19 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-20 00:00:00.000,-2.394e-05,,Regular
DOGEUSDT,2023-09-20 08:00:00.000,-2.933e-05,,Regular
DOGEUSDT,2023-09-20 16:00:00.000,-1.32e-06,,Regular
DOGEUSDT,2023-09-21 00:00:00.001,0.0001,,Regular
DOGEUSDT,2023-09-21 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-21 16:00:00.000,3.696e-05,,Regular
DOGEUSDT,2023-09-22 00:00:00.000,-9.48e-06,,Regular
DOGEUSDT,2023-09-22 08:00:00.000,8.525e-05,,Regular
DOGEUSDT,2023-09-22 16:00:00.000,9.833e-05,,Regular
DOGEUSDT,2023-09-23 00:00:00.000,3.97e-05,,Regular
DOGEUSDT,2023-09-23 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-23 16:00:00.000,9.251e-05,,Regular
DOGEUSDT,2023-09-24 00:00:00.000,4.133e-05,,Regular
DOGEUSDT,2023-09-24 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-24 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-25 00:00:00.000,-2.606e-05,,Regular
DOGEUSDT,2023-09-25 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-25 16:00:00.000,-3.973e-05,,Regular
DOGEUSDT,2023-09-26 00:00:00.000,9.089e-05,,Regular
DOGEUSDT,2023-09-26 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-26 16:00:00.000,4.802e-05,,Regular
DOGEUSDT,2023-09-27 00:00:00.000,7.165e-05,,Regular
DOGEUSDT,2023-09-27 08:00:00.001,0.0001,,Regular
DOGEUSDT,2023-09-27 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-28 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-28 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-28 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-29 00:00:00.000,8.649e-05,,Regular
DOGEUSDT,2023-09-29 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-09-29 16:00:00.000,6.761e-05,,Regular
DOGEUSDT,2023-09-30 00:00:00.000,9.057e-05,,Regular
DOGEUSDT,2023-09-30 08:00:00.000,8.258e-05,,Regular
DOGEUSDT,2023-09-30 16:00:00.000,6.857e-05,,Regular
DOGEUSDT,2023-10-01 00:00:00.000,-3.393e-05,,Regular
DOGEUSDT,2023-10-01 08:00:00.000,2.158e-05,,Regular
DOGEUSDT,2023-10-01 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-02 00:00:00.000,4.937e-05,,Regular
DOGEUSDT,2023-10-02 08:00:00.000,8.938e-05,,Regular
DOGEUSDT,2023-10-02 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-03 00:00:00.000,7.232e-05,,Regular
DOGEUSDT,2023-10-03 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-03 16:00:00.000,3.566e-05,,Regular
DOGEUSDT,2023-10-04 00:00:00.000,-4.853e-05,,Regular
DOGEUSDT,2023-10-04 08:00:00.000,4.938e-05,,Regular
DOGEUSDT,2023-10-04 16:00:00.000,-9.377e-05,,Regular
DOGEUSDT,2023-10-05 00:00:00.000,-4.638e-05,,Regular
DOGEUSDT,2023-10-05 08:00:00.000,4.143e-05,,Regular
DOGEUSDT,2023-10-05 16:00:00.001,1.794e-05,,Regular
DOGEUSDT,2023-10-06 00:00:00.000,6.433e-05,,Regular
DOGEUSDT,2023-10-06 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-06 16:00:00.000,5.956e-05,,Regular
DOGEUSDT,2023-10-07 00:00:00.000,9.118e-05,,Regular
DOGEUSDT,2023-10-07 08:00:00.000,5.878e-05,,Regular
DOGEUSDT,2023-10-07 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-08 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-08 08:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-08 16:00:00.000,3.555e-05,,Regular
DOGEUSDT,2023-10-09 00:00:00.000,-3.469e-05,,Regular
DOGEUSDT,2023-10-09 08:00:00.000,1.187e-05,,Regular
DOGEUSDT,2023-10-09 16:00:00.000,-0.00032408,,Regular
DOGEUSDT,2023-10-10 00:00:00.000,-7.27e-05,,Regular
DOGEUSDT,2023-10-10 08:00:00.000,-6.692e-05,,Regular
DOGEUSDT,2023-10-10 16:00:00.000,-0.00011165,,Regular
DOGEUSDT,2023-10-11 00:00:00.000,-0.00010004,,Regular
DOGEUSDT,2023-10-11 08:00:00.000,9.489e-05,,Regular
DOGEUSDT,2023-10-11 16:00:00.000,-1.449e-05,,Regular
DOGEUSDT,2023-10-12 00:00:00.000,-7.531e-05,,Regular
DOGEUSDT,2023-10-12 08:00:00.000,-0.00015501,,Regular
DOGEUSDT,2023-10-12 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-13 00:00:00.000,7.746e-05,,Regular
DOGEUSDT,2023-10-13 08:00:00.000,8.316e-05,,Regular
DOGEUSDT,2023-10-13 16:00:00.000,7.99e-06,,Regular
DOGEUSDT,2023-10-14 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-14 08:00:00.000,-1.875e-05,,Regular
DOGEUSDT,2023-10-14 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-15 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-15 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-15 16:00:00.000,6.255e-05,,Regular
DOGEUSDT,2023-10-16 00:00:00.000,7.668e-05,,Regular
DOGEUSDT,2023-10-16 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-16 16:00:00.000,9.301e-05,,Regular
DOGEUSDT,2023-10-17 00:00:00.000,2.544e-05,,Regular
DOGEUSDT,2023-10-17 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-17 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-18 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-18 08:00:00.000,9.347e-05,,Regular
DOGEUSDT,2023-10-18 16:00:00.000,8.565e-05,,Regular
DOGEUSDT,2023-10-19 00:00:00.000,-2.621e-05,,Regular
DOGEUSDT,2023-10-19 08:00:00.001,7.594e-05,,Regular
DOGEUSDT,2023-10-19 16:00:00.000,2.191e-05,,Regular
DOGEUSDT,2023-10-20 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-20 08:00:00.005,6.732e-05,,Regular
DOGEUSDT,2023-10-20 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-21 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-21 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-21 16:00:00.000,7.59e-05,,Regular
DOGEUSDT,2023-10-22 00:00:00.000,2.365e-05,,Regular
DOGEUSDT,2023-10-22 08:00:00.000,7.856e-05,,Regular
DOGEUSDT,2023-10-22 16:00:00.000,6e-05,,Regular
DOGEUSDT,2023-10-23 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-23 08:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-23 16:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-24 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-24 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-24 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-25 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-25 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-25 16:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-26 00:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-26 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-26 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-27 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-27 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-27 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-28 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-28 08:00:00.001,0.0001,,Regular
DOGEUSDT,2023-10-28 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-29 00:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-29 08:00:00.000,0.00018542,,Regular
DOGEUSDT,2023-10-29 16:00:00.000,0.00012121,,Regular
DOGEUSDT,2023-10-30 00:00:00.000,0.00010494,,Regular
DOGEUSDT,2023-10-30 08:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-30 16:00:00.000,0.0001,,Regular
DOGEUSDT,2023-10-31 00:00:00.001,0.00036905,,Regular
DOGEUSDT,2023-10-31 08:00:00.000,0.00015566,0.06855213,Regular
DOGEUSDT,2023-10-31 16:00:00.000,0.0001,0.06725000,Regular
DOGEUSDT,2023-11-01 00:00:00.000,0.0001,0.06830023,Regular
DOGEUSDT,2023-11-01 08:00:00.000,0.0001,0.06684691,Regular
DOGEUSDT,2023-11-01 16:00:00.000,0.0001,0.06617604,Regular
DOGEUSDT,2023-11-02 00:00:00.001,0.00031721,0.06895820,Regular
DOGEUSDT,2023-11-02 08:00:00.000,0.00025385,0.06977000,Regular
DOGEUSDT,2023-11-02 16:00:00.000,0.00019966,0.06750513,Regular
DOGEUSDT,2023-11-03 00:00:00.000,0.0001,0.06793470,Regular
DOGEUSDT,2023-11-03 08:00:00.000,0.0001,0.06750763,Regular
DOGEUSDT,2023-11-03 16:00:00.000,0.0001219,0.06777715,Regular
DOGEUSDT,2023-11-04 00:00:00.000,0.0001,0.06812396,Regular
DOGEUSDT,2023-11-04 08:00:00.000,0.00021181,0.06879000,Regular
DOGEUSDT,2023-11-04 16:00:00.000,0.000188,0.06830000,Regular
DOGEUSDT,2023-11-05 00:00:00.000,0.00012991,0.06914000,Regular
DOGEUSDT,2023-11-05 08:00:00.000,0.00022472,0.06965988,Regular
DOGEUSDT,2023-11-05 16:00:00.000,0.0001587,0.06990686,Regular
DOGEUSDT,2023-11-06 00:00:00.000,0.00020959,0.07111000,Regular
DOGEUSDT,2023-11-06 08:00:00.001,0.00011717,0.07136214,Regular
DOGEUSDT,2023-11-06 16:00:00.000,0.00019251,0.07384850,Regular
DOGEUSDT,2023-11-07 00:00:00.001,0.0001,0.07642632,Regular
DOGEUSDT,2023-11-07 08:00:00.000,0.0001,0.07550000,Regular
DOGEUSDT,2023-11-07 16:00:00.000,0.0001,0.07227305,Regular
DOGEUSDT,2023-11-08 00:00:00.000,0.0001,0.07342663,Regular
DOGEUSDT,2023-11-08 08:00:00.000,0.0001,0.07373359,Regular
DOGEUSDT,2023-11-08 16:00:00.000,0.0001,0.07404430,Regular
DOGEUSDT,2023-11-09 00:00:00.000,0.0001,0.07535125,Regular
DOGEUSDT,2023-11-09 08:00:00.000,0.00022535,0.07585000,Regular
DOGEUSDT,2023-11-09 16:00:00.000,0.00027145,0.07574000,Regular
DOGEUSDT,2023-11-10 00:00:00.000,0.0001,0.07355542,Regular
DOGEUSDT,2023-11-10 08:00:00.000,0.0001,0.07433910,Regular
DOGEUSDT,2023-11-10 16:00:00.000,0.0001,0.07330000,Regular
DOGEUSDT,2023-11-11 00:00:00.000,0.00020749,0.07546873,Regular
DOGEUSDT,2023-11-11 08:00:00.000,0.00017927,0.07858000,Regular
DOGEUSDT,2023-11-11 16:00:00.000,0.00037359,0.08017621,Regular
DOGEUSDT,2023-11-12 00:00:00.000,0.00026008,0.07850000,Regular
DOGEUSDT,2023-11-12 08:00:00.000,0.00011835,0.07947000,Regular
DOGEUSDT,2023-11-12 16:00:00.001,0.00011742,0.07852123,Regular
DOGEUSDT,2023-11-13 00:00:00.000,0.00010041,0.07798156,Regular
DOGEUSDT,2023-11-13 08:00:00.000,0.00035859,0.07725000,Regular
DOGEUSDT,2023-11-13 16:00:00.000,0.00024215,0.07711362,Regular
DOGEUSDT,2023-11-14 00:00:00.000,0.0001,0.07457439,Regular
DOGEUSDT,2023-11-14 08:00:00.000,0.00026734,0.07521000,Regular
DOGEUSDT,2023-11-14 16:00:00.001,0.00013011,0.07401737,Regular
DOGEUSDT,2023-11-15 00:00:00.000,0.0001,0.07241858,Regular
DOGEUSDT,2023-11-15 08:00:00.000,0.00010057,0.07359227,Regular
DOGEUSDT,2023-11-15 16:00:00.000,0.00027155,0.07447024,Regular
DOGEUSDT,2023-11-16 00:00:00.000,0.00018365,0.07625362,Regular
