symbol,fundingTime,fundingRate,markPrice,rateType
GOOGLUSDT,2026-03-25 08:00:00.001,0.0,293.07696000,Regular
GOOGLUSDT,2026-03-25 16:00:00.001,0.0,290.63180000,Regular
GOOGLUSDT,2026-03-26 00:00:00.001,0.0,290.04041750,Regular
GOOGLUSDT,2026-03-26 08:00:00.001,0.0,290.39500000,Regular
GOOGLUSDT,2026-03-26 16:00:00.001,0.0,285.10000000,Regular
GOOGLUSDT,2026-03-27 00:00:00.002,0.00039105,281.97863633,Regular
GOOGLUSDT,2026-03-27 08:00:00.001,3.823e-05,282.28000000,Regular
GOOGLUSDT,2026-03-27 16:00:00.001,0.00021969,277.81000000,Regular
GOOGLUSDT,2026-03-28 00:00:00.002,0.00064704,273.80000000,Regular
GOOGLUSDT,2026-03-28 08:00:00.002,0.00193343,273.23453532,Regular
GOOGLUSDT,2026-03-28 16:00:00.001,0.00260606,273.27439839,Regular
GOOGLUSDT,2026-03-29 00:00:00.002,0.0025837,273.19920972,Regular
GOOGLUSDT,2026-03-29 08:00:00.001,0.00169393,273.11713360,Regular
GOOGLUSDT,2026-03-29 16:00:00.001,0.00146475,273.12495244,Regular
GOOGLUSDT,2026-03-30 00:00:00.001,0.00226434,273.00806206,Regular
GOOGLUSDT,2026-03-30 08:00:00.001,0.00048155,275.09954081,Regular
GOOGLUSDT,2026-03-30 16:00:00.001,0.00041334,275.33000000,Regular
GOOGLUSDT,2026-03-31 00:00:00.002,0.00033288,272.37000000,Regular
GOOGLUSDT,2026-03-31 08:00:00.001,0.00016489,276.03589952,Regular
GOOGLUSDT,2026-03-31 16:00:00.001,0.0,281.04172710,Regular
GOOGLUSDT,2026-04-01 00:00:00.001,0.0,289.32000000,Regular
GOOGLUSDT,2026-04-01 08:00:00.002,0.0,290.21500000,Regular
GOOGLUSDT,2026-04-01 16:00:00.002,-5.149e-05,297.90359069,Regular
GOOGLUSDT,2026-04-02 00:00:00.001,0.0,297.35108355,Regular
GOOGLUSDT,2026-04-02 08:00:00.001,-0.00014075,292.45568500,Regular
GOOGLUSDT,2026-04-02 16:00:00.001,-0.00019205,295.23242055,Regular
GOOGLUSDT,2026-04-03 00:00:00.001,0.0,295.75000000,Regular
GOOGLUSDT,2026-04-03 08:00:00.001,0.0,295.16792002,Regular
GOOGLUSDT,2026-04-03 16:00:00.002,-0.00056837,295.07577291,Regular
GOOGLUSDT,2026-04-04 00:00:00.002,-0.00063104,295.20438752,Regular
GOOGLUSDT,2026-04-04 08:00:00.001,-0.00058669,295.20694427,Regular
GOOGLUSDT,2026-04-04 16:00:00.001,-0.00089341,294.90156958,Regular
GOOGLUSDT,2026-04-05 00:00:00.001,-0.00088015,294.98904551,Regular
GOOGLUSDT,2026-04-05 08:00:00.002,-0.00116942,295.03264950,Regular
GOOGLUSDT,2026-04-05 16:00:00.001,-0.00207065,295.04498199,Regular
GOOGLUSDT,2026-04-06 00:00:00.001,-0.00169533,294.76822076,Regular
GOOGLUSDT,2026-04-06 08:00:00.001,0.0,296.81000000,Regular
GOOGLUSDT,2026-04-06 16:00:00.001,0.0,297.93379577,Regular
GOOGLUSDT,2026-04-07 00:00:00.001,0.0,299.50000000,Regular
GOOGLUSDT,2026-04-07 08:00:00.002,0.0,299.21000000,Regular
GOOGLUSDT,2026-04-07 16:00:00.002,0.0,301.84000000,Regular
GOOGLUSDT,2026-04-08 00:00:00.001,0.00051585,315.01255700,Regular
GOOGLUSDT,2026-04-08 08:00:00.002,0.0,316.89000000,Regular
GOOGLUSDT,2026-04-08 16:00:00.002,0.00014368,318.49172779,Regular
GOOGLUSDT,2026-04-09 00:00:00.001,0.0,316.97000000,Regular
GOOGLUSDT,2026-04-09 08:00:00.001,0.0,315.60187597,Regular
GOOGLUSDT,2026-04-09 16:00:00.001,0.0,317.87000000,Regular
GOOGLUSDT,2026-04-10 00:00:00.001,0.00123126,318.38169456,Regular
GOOGLUSDT,2026-04-10 08:00:00.001,0.00021939,318.07000000,Regular
GOOGLUSDT,2026-04-10 16:00:00.001,0.000469,317.64000000,Regular
GOOGLUSDT,2026-04-11 00:00:00.001,0.00059479,317.71000000,Regular
GOOGLUSDT,2026-04-11 08:00:00.001,0.0,317.52292813,Regular
GOOGLUSDT,2026-04-11 16:00:00.001,0.0,317.42081187,Regular
GOOGLUSDT,2026-04-12 00:00:00.002,0.00016418,317.33337351,Regular
GOOGLUSDT,2026-04-12 08:00:00.001,-0.00112558,316.75135768,Regular
GOOGLUSDT,2026-04-12 16:00:00.001,-0.00402347,315.47043565,Regular
GOOGLUSDT,2026-04-13 00:00:00.001,-0.00597672,315.41142054,Regular
GOOGLUSDT,2026-04-13 08:00:00.001,0.0,314.18595480,Regular
GOOGLUSDT,2026-04-13 16:00:00.001,0.0,318.90550177,Regular
GOOGLUSDT,2026-04-14 00:00:00.001,0.00128503,321.08566300,Regular
GOOGLUSDT,2026-04-14 08:00:00.001,0.0001542,322.97596774,Regular
GOOGLUSDT,2026-04-14 16:00:00.001,0.00030573,332.09689082,Regular
GOOGLUSDT,2026-04-15 00:00:00.001,0.00012966,333.53000000,Regular
GOOGLUSDT,2026-04-15 08:00:00.001,0.0,332.13000000,Regular
GOOGLUSDT,2026-04-15 16:00:00.001,0.00021655,333.58480598,Regular
GOOGLUSDT,2026-04-16 00:00:00.001,0.00077347,337.40000000,Regular
GOOGLUSDT,2026-04-16 08:00:00.001,0.00033684,338.51000000,Regular
GOOGLUSDT,2026-04-16 16:00:00.001,0.00045191,337.64000000,Regular
GOOGLUSDT,2026-04-17 00:00:00.001,0.00027402,336.86505281,Regular
GOOGLUSDT,2026-04-17 08:00:00.001,0.00027923,336.45292532,Regular
GOOGLUSDT,2026-04-17 16:00:00.001,0.0,338.05246576,Regular
GOOGLUSDT,2026-04-18 00:00:00.002,0.00023163,340.85572252,Regular
GOOGLUSDT,2026-04-18 08:00:00.001,0.0,340.54392768,Regular
GOOGLUSDT,2026-04-18 16:00:00.001,0.0,340.32946860,Regular
GOOGLUSDT,2026-04-19 00:00:00.001,-0.00018082,340.19368051,Regular
GOOGLUSDT,2026-04-19 08:00:00.002,-0.0007872,339.98486597,Regular
GOOGLUSDT,2026-04-19 16:00:00.001,0.0,340.67233941,Regular
GOOGLUSDT,2026-04-20 00:00:00.001,-0.00379842,338.84871338,Regular
GOOGLUSDT,2026-04-20 08:00:00.002,0.0,338.30000000,Regular
GOOGLUSDT,2026-04-20 16:00:00.002,7.876e-05,338.48000000,Regular
GOOGLUSDT,2026-04-21 00:00:00.001,0.00026902,338.36808636,Regular
GOOGLUSDT,2026-04-21 08:00:00.001,0.00033052,338.53165177,Regular
GOOGLUSDT,2026-04-21 16:00:00.001,0.00044991,336.53000000,Regular
GOOGLUSDT,2026-04-22 00:00:00.001,0.00046733,335.04327569,Regular
GOOGLUSDT,2026-04-22 08:00:00.001,0.00053035,335.35366258,Regular
GOOGLUSDT,2026-04-22 16:00:00.002,0.0005493,337.67383979,Regular
GOOGLUSDT,2026-04-23 00:00:00.002,0.00047838,338.67000000,Regular
GOOGLUSDT,2026-04-23 08:00:00.002,0.00019571,337.37500560,Regular
GOOGLUSDT,2026-04-23 16:00:00.002,0.00051657,340.17814353,Regular
GOOGLUSDT,2026-04-24 00:00:00.001,0.00024071,340.05584812,Regular
GOOGLUSDT,2026-04-24 08:00:00.001,0.0003458,339.74000284,Regular
GOOGLUSDT,2026-04-24 16:00:00.002,0.00065628,343.04429612,Regular
GOOGLUSDT,2026-04-25 00:00:00.001,0.00116539,343.31969312,Regular
GOOGLUSDT,2026-04-25 08:00:00.002,0.0,343.71949803,Regular
GOOGLUSDT,2026-04-25 16:00:00.001,4.622e-05,343.71949803,Regular
GOOGLUSDT,2026-04-26 00:00:00.002,0.0,343.71949803,Regular
GOOGLUSDT,2026-04-26 08:00:00.001,0.0,343.61611750,Regular
GOOGLUSDT,2026-04-26 16:00:00.001,0.0,343.48671067,Regular
GOOGLUSDT,2026-04-27 00:00:00.001,0.00125433,343.58687939,Regular
GOOGLUSDT,2026-04-27 08:00:00.002,0.0,344.47411290,Regular
GOOGLUSDT,2026-04-27 16:00:00.002,0.0,351.49676161,Regular
GOOGLUSDT,2026-04-28 00:00:00.001,0.0,352.55544639,Regular
GOOGLUSDT,2026-04-28 08:00:00.001,0.00038174,350.08000000,Regular
GOOGLUSDT,2026-04-28 16:00:00.001,0.00030344,349.58000000,Regular
GOOGLUSDT,2026-04-29 00:00:00.001,0.00035664,350.55000000,Regular
GOOGLUSDT,2026-04-29 08:00:00.001,0.00048277,350.76000000,Regular
GOOGLUSDT,2026-04-29 16:00:00.002,0.0,351.44189079,Regular
GOOGLUSDT,2026-04-30 00:00:00.001,0.00013121,375.18598487,Regular
GOOGLUSDT,2026-04-30 08:00:00.001,0.00019401,373.97000000,Regular
GOOGLUSDT,2026-04-30 16:00:00.002,0.00029518,374.78000000,Regular
GOOGLUSDT,2026-05-01 00:00:00.001,0.00039704,385.09914906,Regular
GOOGLUSDT,2026-05-01 08:00:00.001,0.0,387.10403016,Regular
GOOGLUSDT,2026-05-01 16:00:00.001,0.0001723,384.13641518,Regular
GOOGLUSDT,2026-05-02 00:00:00.001,0.0001166,385.42000000,Regular
GOOGLUSDT,2026-05-02 08:00:00.001,0.0,385.24754466,Regular
GOOGLUSDT,2026-05-02 16:00:00.001,0.0,385.25472132,Regular
GOOGLUSDT,2026-05-03 00:00:00.001,0.0,385.56158912,Regular
GOOGLUSDT,2026-05-03 08:00:00.001,0.0,385.64410593,Regular
GOOGLUSDT,2026-05-03 16:00:00.001,0.00056135,385.59625984,Regular
GOOGLUSDT,2026-05-04 00:00:00.002,0.00312526,386.24496885,Regular
GOOGLUSDT,2026-05-04 08:00:00.001,0.0,387.74000000,Regular
GOOGLUSDT,2026-05-04 16:00:00.001,0.0,383.65000000,Regular
GOOGLUSDT,2026-05-05 00:00:00.001,5.917e-05,383.12555013,Regular
GOOGLUSDT,2026-05-05 08:00:00.001,0.00012507,383.99806452,Regular
GOOGLUSDT,2026-05-05 16:00:00.001,0.00015263,387.49000000,Regular
GOOGLUSDT,2026-05-06 00:00:00.001,3.441e-05,394.81312947,Regular
GOOGLUSDT,2026-05-06 08:00:00.001,0.00018006,394.90000000,Regular
GOOGLUSDT,2026-05-06 16:00:00.001,0.00023628,397.81000000,Regular
GOOGLUSDT,2026-05-07 00:00:00.002,0.00047465,397.59000000,Regular
GOOGLUSDT,2026-05-07 08:00:00.001,0.00038932,400.10000000,Regular
GOOGLUSDT,2026-05-07 16:00:00.001,0.00033858,395.33138102,Regular
GOOGLUSDT,2026-05-08 00:00:00.001,0.00043213,397.02000000,Regular
GOOGLUSDT,2026-05-08 08:00:00.001,0.00021867,400.04090952,Regular
GOOGLUSDT,2026-05-08 16:00:00.001,6.232e-05,398.99419258,Regular
GOOGLUSDT,2026-05-09 00:00:00.001,0.0,399.93000000,Regular
GOOGLUSDT,2026-05-09 08:00:00.001,0.00074542,400.23129576,Regular
GOOGLUSDT,2026-05-09 16:00:00.001,0.0003119,400.20033706,Regular
GOOGLUSDT,2026-05-10 00:00:00.002,0.00088572,400.50202786,Regular
GOOGLUSDT,2026-05-10 08:00:00.001,0.00190933,400.68785656,Regular
GOOGLUSDT,2026-05-10 16:00:00.001,0.00180801,400.33309195,Regular
GOOGLUSDT,2026-05-11 00:00:00.002,0.0,399.45979634,Regular
GOOGLUSDT,2026-05-11 08:00:00.001,0.00016011,398.10000000,Regular
GOOGLUSDT,2026-05-11 16:00:00.001,0.0,394.80000000,Regular
GOOGLUSDT,2026-05-12 00:00:00.001,0.0,389.68272349,Regular
GOOGLUSDT,2026-05-12 08:00:00.001,0.0,386.04000000,Regular
GOOGLUSDT,2026-05-12 16:00:00.001,1.14e-05,386.87594142,Regular
GOOGLUSDT,2026-05-13 00:00:00.002,0.00036116,389.63962349,Regular
GOOGLUSDT,2026-05-13 08:00:00.001,0.00027009,389.97431452,Regular
GOOGLUSDT,2026-05-13 16:00:00.001,0.0,397.98748762,Regular
GOOGLUSDT,2026-05-14 00:00:00.001,0.00010141,403.89178763,Regular
GOOGLUSDT,2026-05-14 08:00:00.001,0.0,403.72966145,Regular
GOOGLUSDT,2026-05-14 16:00:00.001,3.507e-05,401.89742037,Regular
GOOGLUSDT,2026-05-15 00:00:00.002,0.0,400.30000000,Regular
