symbol,fundingTime,fundingRate,markPrice,rateType
LSKUSDT,2024-01-25 16:00:00.000,-0.00201623,1.18900000,Regular
LSKUSDT,2024-01-25 20:00:00.000,5e-05,1.21400000,Regular
LSKUSDT,2024-01-26 00:00:00.001,5e-05,1.28061517,Regular
LSKUSDT,2024-01-26 04:00:00.001,-3.95e-06,1.25800000,Regular
LSKUSDT,2024-01-26 08:00:00.000,-0.00012076,1.23014670,Regular
LSKUSDT,2024-01-26 12:00:00.000,-8.433e-05,1.23582160,Regular
LSKUSDT,2024-01-26 16:00:00.000,-0.00137855,1.23300000,Regular
LSKUSDT,2024-01-26 20:00:00.000,-0.00143597,1.20900000,Regular
LSKUSDT,2024-01-27 00:00:00.000,-0.0003035,1.24600000,Regular
LSKUSDT,2024-01-27 04:00:00.000,5e-05,1.20966118,Regular
LSKUSDT,2024-01-27 08:00:00.000,5e-05,1.19300000,Regular
LSKUSDT,2024-01-27 12:00:00.000,5e-05,1.19604671,Regular
LSKUSDT,2024-01-27 16:00:00.000,5e-05,1.19699208,Regular
LSKUSDT,2024-01-27 20:00:00.000,5e-05,1.20714750,Regular
LSKUSDT,2024-01-28 00:00:00.000,5e-05,1.21540025,Regular
LSKUSDT,2024-01-28 04:00:00.000,5e-05,1.21222002,Regular
LSKUSDT,2024-01-28 08:00:00.000,5e-05,1.19631007,Regular
LSKUSDT,2024-01-28 12:00:00.000,5e-05,1.23300000,Regular
LSKUSDT,2024-01-28 16:00:00.000,5e-05,1.34327415,Regular
LSKUSDT,2024-01-28 20:00:00.000,5e-05,1.36077089,Regular
LSKUSDT,2024-01-29 00:00:00.000,5e-05,1.41257218,Regular
LSKUSDT,2024-01-29 04:00:00.001,5e-05,1.42906965,Regular
LSKUSDT,2024-01-29 08:00:00.001,5e-05,1.36300000,Regular
LSKUSDT,2024-01-29 12:00:00.000,5e-05,1.43622115,Regular
LSKUSDT,2024-01-29 16:00:00.000,5e-05,1.47124646,Regular
LSKUSDT,2024-01-29 20:00:00.000,5e-05,1.46496331,Regular
LSKUSDT,2024-01-30 00:00:00.000,5e-05,1.46299371,Regular
LSKUSDT,2024-01-30 04:00:00.000,5e-05,1.42909687,Regular
LSKUSDT,2024-01-30 08:00:00.000,5e-05,1.49735495,Regular
LSKUSDT,2024-01-30 12:00:00.000,5e-05,1.46285576,Regular
LSKUSDT,2024-01-30 16:00:00.001,5e-05,1.42877111,Regular
LSKUSDT,2024-01-30 20:00:00.000,5e-05,1.43353384,Regular
LSKUSDT,2024-01-31 00:00:00.000,5e-05,1.39810504,Regular
LSKUSDT,2024-01-31 04:00:00.001,5e-05,1.36000000,Regular
LSKUSDT,2024-01-31 08:00:00.000,5e-05,1.36200000,Regular
LSKUSDT,2024-01-31 12:00:00.000,5e-05,1.34733141,Regular
LSKUSDT,2024-01-31 16:00:00.000,5e-05,1.34600000,Regular
LSKUSDT,2024-01-31 20:00:00.000,5e-05,1.34800000,Regular
LSKUSDT,2024-02-01 00:00:00.000,5e-05,1.35448142,Regular
LSKUSDT,2024-02-01 04:00:00.000,5e-05,1.30755496,Regular
LSKUSDT,2024-02-01 08:00:00.000,5e-05,1.30900000,Regular
LSKUSDT,2024-02-01 12:00:00.000,5e-05,1.30293251,Regular
