fundingTime,fundingRate,realizedRate
2026-06-08 08:00:00,-5.81634780562e-05,-5.81634780562e-05
2026-06-08 16:00:00,-7.38554551486e-05,-7.38554551486e-05
2026-06-09 00:00:00,-0.000150730098245,-0.000150730098245
2026-06-09 08:00:00,-6.11167247228e-05,-6.11167247228e-05
2026-06-09 16:00:00,-2.70255467439e-05,-2.70255467439e-05
2026-06-10 00:00:00,9.6430423193e-06,9.6430423193e-06
2026-06-10 08:00:00,-2.81122877e-08,-2.81122877e-08
2026-06-10 16:00:00,-4.882054165e-05,-4.882054165e-05
2026-06-11 00:00:00,-6.28871649466e-05,-6.28871649466e-05
2026-06-11 08:00:00,-7.500844339e-05,-7.500844339e-05
2026-06-11 16:00:00,-2.20748470192e-05,-2.20748470192e-05
2026-06-12 00:00:00,-4.63144464458e-05,-4.63144464458e-05
2026-06-12 08:00:00,-6.1289295716e-05,-6.1289295716e-05
2026-06-12 16:00:00,-1.05426347701e-05,-1.05426347701e-05
2026-06-13 00:00:00,-1.39562125418e-05,-1.39562125418e-05
2026-06-13 08:00:00,2.569137652e-06,2.569137652e-06
2026-06-13 16:00:00,-2.92435576406e-05,-2.92435576406e-05
2026-06-14 00:00:00,4.0341654621e-06,4.0341654621e-06
2026-06-14 08:00:00,2.5940839627e-06,2.5940839627e-06
2026-06-14 16:00:00,3.22130449158e-05,3.22130449158e-05
2026-06-15 00:00:00,-1.48154727363e-05,-1.48154727363e-05
2026-06-15 08:00:00,1.82601357154e-05,1.82601357154e-05
2026-06-15 16:00:00,-4.09078153245e-05,-4.09078153245e-05
2026-06-16 00:00:00,1.47775536339e-05,1.47775536339e-05
2026-06-16 08:00:00,2.1741324592e-06,2.1741324592e-06
2026-06-16 16:00:00,3.10436405161e-05,3.10436405161e-05
2026-06-17 00:00:00,3.09117993428e-05,3.09117993428e-05
2026-06-17 08:00:00,1.12775535827e-05,1.12775535827e-05
2026-06-17 16:00:00,-4.7170002475e-06,-4.7170002475e-06
2026-06-18 00:00:00,3.54185339253e-05,3.54185339253e-05
2026-06-18 08:00:00,1.90329683335e-05,1.90329683335e-05
2026-06-18 16:00:00,1.30718888498e-05,1.30718888498e-05
