symbol,fundingTime,fundingRate,markPrice,rateType
SKHYNIXUSDT,2026-06-02 08:00:00.001,0.00268255,1545.76179913,Regular
SKHYNIXUSDT,2026-06-02 16:00:00.001,0.0013762,1606.00000000,Regular
SKHYNIXUSDT,2026-06-03 00:00:00.001,0.0,1628.10954590,Regular
SKHYNIXUSDT,2026-06-03 08:00:00.001,-5.481e-05,1635.92021905,Regular
SKHYNIXUSDT,2026-06-03 16:00:00.001,-0.00078658,1622.11558831,Regular
SKHYNIXUSDT,2026-06-04 00:00:00.001,-0.00307661,1543.97000000,Regular
SKHYNIXUSDT,2026-06-04 08:00:00.001,0.00441883,1488.93198598,Regular
SKHYNIXUSDT,2026-06-04 16:00:00.001,0.00181916,1518.56142955,Regular
SKHYNIXUSDT,2026-06-05 00:00:00.001,-0.00342019,1447.03180679,Regular
SKHYNIXUSDT,2026-06-05 08:00:00.001,0.00319518,1336.52539360,Regular
SKHYNIXUSDT,2026-06-05 16:00:00.001,-0.00222193,1318.55373992,Regular
SKHYNIXUSDT,2026-06-06 00:00:00.001,-0.00128169,1238.66000000,Regular
SKHYNIXUSDT,2026-06-06 08:00:00.001,-0.00026144,1212.60000000,Regular
SKHYNIXUSDT,2026-06-06 16:00:00.001,-0.00023551,1203.01000000,Regular
SKHYNIXUSDT,2026-06-07 00:00:00.002,0.00015832,1213.70000000,Regular
SKHYNIXUSDT,2026-06-07 08:00:00.001,0.00061955,1240.00000000,Regular
SKHYNIXUSDT,2026-06-07 16:00:00.001,0.00144544,1289.22971392,Regular
SKHYNIXUSDT,2026-06-08 00:00:00.001,-0.00245651,1240.92621323,Regular
SKHYNIXUSDT,2026-06-08 08:00:00.001,0.00571031,1275.56967177,Regular
SKHYNIXUSDT,2026-06-08 16:00:00.001,0.00161537,1341.94263067,Regular
SKHYNIXUSDT,2026-06-09 00:00:00.001,0.00024153,1369.52150108,Regular
SKHYNIXUSDT,2026-06-09 08:00:00.001,0.0,1452.01908764,Regular
SKHYNIXUSDT,2026-06-09 16:00:00.001,-0.00495579,1392.90000000,Regular
SKHYNIXUSDT,2026-06-10 00:00:00.001,0.00025339,1385.66686566,Regular
SKHYNIXUSDT,2026-06-10 08:00:00.001,0.00463966,1335.70140979,Regular
SKHYNIXUSDT,2026-06-10 16:00:00.001,0.00017878,1366.42000000,Regular
SKHYNIXUSDT,2026-06-11 00:00:00.001,-0.00220722,1313.33000000,Regular
SKHYNIXUSDT,2026-06-11 08:00:00.001,0.0033825,1381.68000000,Regular
SKHYNIXUSDT,2026-06-11 16:00:00.001,5.254e-05,1410.63000000,Regular
SKHYNIXUSDT,2026-06-12 00:00:00.001,0.00216676,1521.00000000,Regular
SKHYNIXUSDT,2026-06-12 08:00:00.001,0.00074851,1429.09301385,Regular
SKHYNIXUSDT,2026-06-12 16:00:00.001,0.00091069,1448.24000000,Regular
SKHYNIXUSDT,2026-06-13 00:00:00.001,0.0,1474.76429381,Regular
SKHYNIXUSDT,2026-06-13 08:00:00.001,0.0,1475.75000000,Regular
SKHYNIXUSDT,2026-06-13 16:00:00.001,0.0,1483.33000000,Regular
SKHYNIXUSDT,2026-06-14 00:00:00.001,0.0,1499.36284062,Regular
SKHYNIXUSDT,2026-06-14 08:00:00.001,0.0,1510.99036190,Regular
SKHYNIXUSDT,2026-06-14 16:00:00.001,0.0,1516.51000000,Regular
SKHYNIXUSDT,2026-06-15 00:00:00.001,0.00029335,1537.29094981,Regular
SKHYNIXUSDT,2026-06-15 08:00:00.002,0.00342426,1509.77707763,Regular
