symbol,fundingTime,fundingRate,markPrice,rateType
SOLUSDT,2023-09-14 16:00:00.000,-0.00024678,,Regular
SOLUSDT,2023-09-15 00:00:00.000,-0.0002153,,Regular
SOLUSDT,2023-09-15 08:00:00.000,-0.00012046,,Regular
SOLUSDT,2023-09-15 16:00:00.000,-5.91e-06,,Regular
SOLUSDT,2023-09-16 00:00:00.000,1.257e-05,,Regular
SOLUSDT,2023-09-16 08:00:00.000,-5.38e-05,,Regular
SOLUSDT,2023-09-16 16:00:00.000,-0.00014091,,Regular
SOLUSDT,2023-09-17 00:00:00.000,-0.00021514,,Regular
SOLUSDT,2023-09-17 08:00:00.000,-7.124e-05,,Regular
SOLUSDT,2023-09-17 16:00:00.000,-5.427e-05,,Regular
SOLUSDT,2023-09-18 00:00:00.000,-0.00030943,,Regular
SOLUSDT,2023-09-18 08:00:00.000,-7.847e-05,,Regular
SOLUSDT,2023-09-18 16:00:00.000,-0.00013976,,Regular
SOLUSDT,2023-09-19 00:00:00.000,-5.9e-05,,Regular
SOLUSDT,2023-09-19 08:00:00.001,-0.00010841,,Regular
SOLUSDT,2023-09-19 16:00:00.000,0.0001,,Regular
SOLUSDT,2023-09-20 00:00:00.000,-0.00014401,,Regular
SOLUSDT,2023-09-20 08:00:00.000,-8.143e-05,,Regular
SOLUSDT,2023-09-20 16:00:00.000,-9.609e-05,,Regular
SOLUSDT,2023-09-21 00:00:00.001,-7.77e-06,,Regular
SOLUSDT,2023-09-21 08:00:00.000,-6.489e-05,,Regular
SOLUSDT,2023-09-21 16:00:00.000,0.0001,,Regular
SOLUSDT,2023-09-22 00:00:00.000,1.075e-05,,Regular
SOLUSDT,2023-09-22 08:00:00.000,1.389e-05,,Regular
SOLUSDT,2023-09-22 16:00:00.000,4.359e-05,,Regular
SOLUSDT,2023-09-23 00:00:00.000,5.987e-05,,Regular
SOLUSDT,2023-09-23 08:00:00.000,0.0001,,Regular
SOLUSDT,2023-09-23 16:00:00.000,5.94e-05,,Regular
SOLUSDT,2023-09-24 00:00:00.000,8.557e-05,,Regular
SOLUSDT,2023-09-24 08:00:00.000,8.1e-06,,Regular
SOLUSDT,2023-09-24 16:00:00.000,6.559e-05,,Regular
SOLUSDT,2023-09-25 00:00:00.000,1.511e-05,,Regular
SOLUSDT,2023-09-25 08:00:00.000,-3.233e-05,,Regular
SOLUSDT,2023-09-25 16:00:00.000,2.778e-05,,Regular
SOLUSDT,2023-09-26 00:00:00.000,1.913e-05,,Regular
SOLUSDT,2023-09-26 08:00:00.000,-6.278e-05,,Regular
SOLUSDT,2023-09-26 16:00:00.000,1.89e-05,,Regular
SOLUSDT,2023-09-27 00:00:00.000,7.51e-05,,Regular
SOLUSDT,2023-09-27 08:00:00.001,3.583e-05,,Regular
SOLUSDT,2023-09-27 16:00:00.000,2.165e-05,,Regular
SOLUSDT,2023-09-28 00:00:00.000,-0.00025005,,Regular
SOLUSDT,2023-09-28 08:00:00.000,4.959e-05,,Regular
SOLUSDT,2023-09-28 16:00:00.000,0.0001,,Regular
SOLUSDT,2023-09-29 00:00:00.000,-8.879e-05,,Regular
SOLUSDT,2023-09-29 08:00:00.000,3.522e-05,,Regular
SOLUSDT,2023-09-29 16:00:00.000,-8.995e-05,,Regular
SOLUSDT,2023-09-30 00:00:00.000,-9.192e-05,,Regular
SOLUSDT,2023-09-30 08:00:00.000,-0.00013968,,Regular
SOLUSDT,2023-09-30 16:00:00.000,-0.00033235,,Regular
SOLUSDT,2023-10-01 00:00:00.000,-0.00015019,,Regular
SOLUSDT,2023-10-01 08:00:00.000,-0.00024577,,Regular
