symbol,fundingTime,fundingRate,markPrice,rateType
SPYUSDT,2026-04-03 08:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-03 16:00:00.002,0.0,655.92935000,Regular
SPYUSDT,2026-04-04 00:00:00.002,0.0,655.92935000,Regular
SPYUSDT,2026-04-04 08:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-04 16:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-05 00:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-05 08:00:00.002,0.0,655.92935000,Regular
SPYUSDT,2026-04-05 16:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-06 00:00:00.001,0.0,655.92935000,Regular
SPYUSDT,2026-04-06 08:00:00.001,0.0,657.09499500,Regular
SPYUSDT,2026-04-06 16:00:00.001,0.0,658.56000000,Regular
SPYUSDT,2026-04-07 00:00:00.001,0.0,657.80506459,Regular
SPYUSDT,2026-04-07 08:00:00.002,-0.0001338,656.57499500,Regular
SPYUSDT,2026-04-07 16:00:00.002,0.0,653.75177746,Regular
SPYUSDT,2026-04-08 00:00:00.001,0.0,673.60311050,Regular
SPYUSDT,2026-04-08 08:00:00.002,0.0,675.23525933,Regular
SPYUSDT,2026-04-08 16:00:00.002,0.0,674.63098584,Regular
SPYUSDT,2026-04-09 00:00:00.001,-3.05e-05,674.29000000,Regular
SPYUSDT,2026-04-09 08:00:00.001,-5.734e-05,672.98306565,Regular
SPYUSDT,2026-04-09 16:00:00.001,-0.00010156,678.33538094,Regular
SPYUSDT,2026-04-10 00:00:00.001,-0.00042512,678.55964097,Regular
SPYUSDT,2026-04-10 08:00:00.001,-0.00037486,679.27498097,Regular
SPYUSDT,2026-04-10 16:00:00.001,-0.0002954,678.78000000,Regular
SPYUSDT,2026-04-11 00:00:00.001,-0.00028622,679.99537317,Regular
SPYUSDT,2026-04-11 08:00:00.001,-0.00099208,679.84243257,Regular
SPYUSDT,2026-04-11 16:00:00.001,-2.102e-05,679.81839452,Regular
SPYUSDT,2026-04-12 00:00:00.002,-0.00022762,679.79951195,Regular
SPYUSDT,2026-04-12 08:00:00.001,-0.00267358,679.18737616,Regular
SPYUSDT,2026-04-12 16:00:00.001,-0.00365032,677.74770455,Regular
SPYUSDT,2026-04-13 00:00:00.001,-0.00394129,678.56575312,Regular
SPYUSDT,2026-04-13 08:00:00.001,0.0,674.93821855,Regular
SPYUSDT,2026-04-13 16:00:00.001,0.0,678.94426376,Regular
SPYUSDT,2026-04-14 00:00:00.001,0.0,685.92000000,Regular
