symbol,fundingTime,fundingRate,markPrice,rateType
ZECUSDT,2023-09-14 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-15 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-15 08:00:00.000,-0.00015004,,Regular
ZECUSDT,2023-09-15 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-16 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-16 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-16 16:00:00.000,2.426e-05,,Regular
ZECUSDT,2023-09-17 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-17 08:00:00.000,-3.339e-05,,Regular
ZECUSDT,2023-09-17 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-18 00:00:00.000,-0.00010209,,Regular
ZECUSDT,2023-09-18 08:00:00.000,-2.724e-05,,Regular
ZECUSDT,2023-09-18 16:00:00.000,8.993e-05,,Regular
ZECUSDT,2023-09-19 00:00:00.000,3.713e-05,,Regular
ZECUSDT,2023-09-19 08:00:00.001,8.799e-05,,Regular
ZECUSDT,2023-09-19 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-20 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-20 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-20 16:00:00.000,7.186e-05,,Regular
ZECUSDT,2023-09-21 00:00:00.001,0.0001,,Regular
ZECUSDT,2023-09-21 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-21 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-22 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-22 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-22 16:00:00.000,6.86e-05,,Regular
ZECUSDT,2023-09-23 00:00:00.000,-3.117e-05,,Regular
ZECUSDT,2023-09-23 08:00:00.000,-0.0001192,,Regular
ZECUSDT,2023-09-23 16:00:00.000,3.066e-05,,Regular
ZECUSDT,2023-09-24 00:00:00.000,-0.00012688,,Regular
ZECUSDT,2023-09-24 08:00:00.000,-0.0001274,,Regular
ZECUSDT,2023-09-24 16:00:00.000,4.213e-05,,Regular
ZECUSDT,2023-09-25 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-25 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-25 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-26 00:00:00.000,9.05e-05,,Regular
ZECUSDT,2023-09-26 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-26 16:00:00.000,-0.00012073,,Regular
ZECUSDT,2023-09-27 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-27 08:00:00.001,0.0001,,Regular
ZECUSDT,2023-09-27 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-28 00:00:00.000,1.114e-05,,Regular
ZECUSDT,2023-09-28 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-28 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-29 00:00:00.000,9.192e-05,,Regular
ZECUSDT,2023-09-29 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-29 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-30 00:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-30 08:00:00.000,0.0001,,Regular
ZECUSDT,2023-09-30 16:00:00.000,0.0001,,Regular
ZECUSDT,2023-10-01 00:00:00.000,0.0001,,Regular
