标的,对比,周期,入场阈值(bp),费率类型,年化收益,最大回撤,夏普比率,交易次数,资金费总收,手续费扣除
BTC,Binance vs OKX,0.27年(291期),0.5,Maker(0.02%),-3.99%,-1.13%,-7.25,6,0.24%,1.32%
BTC,Binance vs OKX,0.27年(291期),0.5,Taker(0.05%),-11.03%,-3.06%,-8.3,6,0.24%,3.30%
BTC,Binance vs OKX,0.27年(291期),1.0,Maker(0.02%),0.00%,0.00%,0.0,0,0.00%,0.00%
BTC,Binance vs OKX,0.27年(291期),1.0,Taker(0.05%),0.00%,0.00%,0.0,0,0.00%,0.00%
BTC,Binance vs OKX,0.27年(291期),2.0,Maker(0.02%),0.00%,0.00%,0.0,0,0.00%,0.00%
BTC,Binance vs OKX,0.27年(291期),2.0,Taker(0.05%),0.00%,0.00%,0.0,0,0.00%,0.00%
BTC,Binance vs Bybit,3.0年(3284期),0.5,Maker(0.02%),-5.68%,-16.16%,-8.0,93,6.14%,21.80%
BTC,Binance vs Bybit,3.0年(3284期),0.5,Taker(0.05%),-20.49%,-49.74%,-9.77,93,6.14%,54.50%
BTC,Binance vs Bybit,3.0年(3284期),1.0,Maker(0.02%),-1.12%,-3.44%,-2.97,50,3.72%,6.96%
BTC,Binance vs Bybit,3.0年(3284期),1.0,Taker(0.05%),-4.89%,-13.97%,-5.24,50,3.72%,17.40%
BTC,Binance vs Bybit,3.0年(3284期),1.5,Maker(0.02%),-0.38%,-1.27%,-1.58,24,1.74%,2.88%
BTC,Binance vs Bybit,3.0年(3284期),1.5,Taker(0.05%),-1.87%,-5.50%,-3.32,24,1.74%,7.20%
BTC,Binance vs Bybit,3.0年(3284期),2.0,Maker(0.02%),0.03%,-0.33%,0.21,13,1.30%,1.20%
BTC,Binance vs Bybit,3.0年(3284期),2.0,Taker(0.05%),-0.57%,-1.74%,-1.7,13,1.30%,3.00%
ETH,Binance vs OKX,0.27年(291期),0.5,Maker(0.02%),-4.43%,-1.22%,-7.25,2,0.21%,1.40%
ETH,Binance vs OKX,0.27年(291期),0.5,Taker(0.05%),-11.86%,-3.32%,-8.07,2,0.21%,3.50%
ETH,Binance vs OKX,0.27年(291期),1.0,Maker(0.02%),0.42%,-0.08%,2.87,1,0.19%,0.08%
ETH,Binance vs OKX,0.27年(291期),1.0,Taker(0.05%),-0.03%,-0.14%,-0.1,1,0.19%,0.20%
ETH,Binance vs OKX,0.27年(291期),2.0,Maker(0.02%),0.00%,0.00%,0.0,0,0.00%,0.00%
ETH,Binance vs OKX,0.27年(291期),2.0,Taker(0.05%),0.00%,0.00%,0.0,0,0.00%,0.00%
ETH,Binance vs Bybit,3.0年(3284期),0.5,Maker(0.02%),-6.36%,-17.89%,-8.6,96,5.13%,22.60%
ETH,Binance vs Bybit,3.0年(3284期),0.5,Taker(0.05%),-22.04%,-52.61%,-10.06,96,5.13%,56.50%
ETH,Binance vs Bybit,3.0年(3284期),1.0,Maker(0.02%),-1.14%,-3.56%,-2.99,55,3.49%,6.80%
ETH,Binance vs Bybit,3.0年(3284期),1.0,Taker(0.05%),-4.81%,-13.80%,-5.3,55,3.49%,17.00%
ETH,Binance vs Bybit,3.0年(3284期),1.5,Maker(0.02%),-0.14%,-1.04%,-0.63,25,2.06%,2.48%
ETH,Binance vs Bybit,3.0年(3284期),1.5,Taker(0.05%),-1.42%,-4.19%,-2.8,25,2.06%,6.20%
ETH,Binance vs Bybit,3.0年(3284期),2.0,Maker(0.02%),0.18%,-0.38%,1.22,10,1.42%,0.88%
ETH,Binance vs Bybit,3.0年(3284期),2.0,Taker(0.05%),-0.26%,-1.10%,-0.88,10,1.42%,2.20%
SOL,Binance vs OKX,0.27年(291期),0.5,Maker(0.02%),-6.63%,-1.87%,-9.97,8,0.15%,1.96%
SOL,Binance vs OKX,0.27年(291期),0.5,Taker(0.05%),-16.73%,-4.79%,-10.61,8,0.15%,4.90%
SOL,Binance vs OKX,0.27年(291期),1.0,Maker(0.02%),-0.75%,-0.27%,-3.4,4,0.08%,0.28%
SOL,Binance vs OKX,0.27年(291期),1.0,Taker(0.05%),-2.31%,-0.68%,-4.57,4,0.08%,0.70%
SOL,Binance vs OKX,0.27年(291期),2.0,Maker(0.02%),0.00%,0.00%,0.0,0,0.00%,0.00%
SOL,Binance vs OKX,0.27年(291期),2.0,Taker(0.05%),0.00%,0.00%,0.0,0,0.00%,0.00%
SOL,Binance vs Bybit,3.0年(3284期),0.5,Maker(0.02%),-14.65%,-37.83%,-13.68,179,5.69%,42.60%
SOL,Binance vs Bybit,3.0年(3284期),0.5,Taker(0.05%),nan%,-103.32%,-0.85,179,5.69%,106.50%
SOL,Binance vs Bybit,3.0年(3284期),1.0,Maker(0.02%),-3.41%,-9.91%,-5.78,108,5.68%,15.32%
SOL,Binance vs Bybit,3.0年(3284期),1.0,Taker(0.05%),-12.71%,-33.49%,-8.5,108,5.68%,38.30%
SOL,Binance vs Bybit,3.0年(3284期),1.5,Maker(0.02%),-0.69%,-2.05%,-1.75,55,4.24%,6.24%
SOL,Binance vs Bybit,3.0年(3284期),1.5,Taker(0.05%),-4.04%,-11.63%,-4.73,55,4.24%,15.60%
SOL,Binance vs Bybit,3.0年(3284期),2.0,Maker(0.02%),0.03%,-0.95%,0.09,29,2.97%,2.88%
SOL,Binance vs Bybit,3.0年(3284期),2.0,Taker(0.05%),-1.46%,-4.31%,-2.54,29,2.97%,7.20%
