symbol,fundingTime,fundingRate,markPrice,rateType
牛来USDT,2026-08-30 12:00:00.000,0.00252893,0.10765223,Regular
牛来USDT,2026-08-30 16:00:00.001,0.00062903,0.12966437,Regular
牛来USDT,2026-08-30 20:00:00.000,0.00079997,0.11760000,Regular
牛来USDT,2026-08-31 00:00:00.002,0.00068236,0.10150000,Regular
牛来USDT,2026-08-31 04:00:00.002,0.00023113,0.12532843,Regular
牛来USDT,2026-08-31 08:00:00.002,0.00032235,0.11583047,Regular
牛来USDT,2026-08-31 12:00:00.003,0.00026989,0.11055000,Regular
牛来USDT,2026-08-31 16:00:00.001,0.00037324,0.11419000,Regular
牛来USDT,2026-08-31 20:00:00.000,0.00053901,0.10373015,Regular
牛来USDT,2026-09-01 00:00:00.005,0.00040973,0.10312404,Regular
牛来USDT,2026-09-01 04:00:00.007,0.00030234,0.10070000,Regular
牛来USDT,2026-09-01 08:00:00.000,0.00036156,0.09264466,Regular
牛来USDT,2026-09-01 12:00:00.001,0.00028425,0.09186000,Regular
牛来USDT,2026-09-01 16:00:00.000,0.00070083,0.08377000,Regular
牛来USDT,2026-09-01 20:00:00.000,0.00043209,0.07823000,Regular
牛来USDT,2026-09-02 00:00:00.000,0.00023969,0.08345711,Regular
牛来USDT,2026-09-02 04:00:00.000,0.00034827,0.08455000,Regular
牛来USDT,2026-09-02 08:00:00.001,0.00022827,0.08632150,Regular
牛来USDT,2026-09-02 12:00:00.000,0.0003728,0.07177713,Regular
牛来USDT,2026-09-02 16:00:00.005,0.00075239,0.06812000,Regular
牛来USDT,2026-09-02 20:00:00.000,0.00034197,0.07257000,Regular
牛来USDT,2026-09-03 00:00:00.000,0.000421,0.07804487,Regular
牛来USDT,2026-09-03 04:00:00.000,0.00046228,0.08247000,Regular
牛来USDT,2026-09-03 08:00:00.000,0.00050189,0.08334390,Regular
牛来USDT,2026-09-03 12:00:00.002,0.00060884,0.07888000,Regular
牛来USDT,2026-09-03 16:00:00.000,0.00046519,0.09081672,Regular
牛来USDT,2026-09-03 20:00:00.000,0.00026635,0.08872000,Regular
牛来USDT,2026-09-04 00:00:00.000,0.00038565,0.09631737,Regular
牛来USDT,2026-09-04 04:00:00.000,0.00033818,0.09344557,Regular
牛来USDT,2026-09-04 08:00:00.000,0.00047636,0.08482000,Regular
牛来USDT,2026-09-04 12:00:00.003,7.915e-05,0.08828918,Regular
牛来USDT,2026-09-04 16:00:00.009,0.0002997,0.08564000,Regular
牛来USDT,2026-09-04 20:00:00.000,0.00026846,0.08318473,Regular
牛来USDT,2026-09-05 00:00:00.000,0.00034072,0.08404810,Regular
牛来USDT,2026-09-05 04:00:00.001,0.00027071,0.08980773,Regular
牛来USDT,2026-09-05 08:00:00.000,0.00028502,0.10605000,Regular
牛来USDT,2026-09-05 12:00:00.007,0.00029169,0.11769000,Regular
牛来USDT,2026-09-05 16:00:00.001,0.0001803,0.11475707,Regular
牛来USDT,2026-09-05 20:00:00.000,0.0004658,0.11763000,Regular
牛来USDT,2026-09-06 00:00:00.000,0.00012398,0.12059707,Regular
牛来USDT,2026-09-06 04:00:00.005,7.984e-05,0.11232000,Regular
牛来USDT,2026-09-06 08:00:00.000,0.00017187,0.10789519,Regular
牛来USDT,2026-09-06 12:00:00.001,0.00013468,0.09937307,Regular
牛来USDT,2026-09-06 16:00:00.004,0.00018983,0.09436309,Regular
牛来USDT,2026-09-06 20:00:00.000,0.00048316,0.09374226,Regular
牛来USDT,2026-09-07 00:00:00.004,0.00020746,0.09096819,Regular
牛来USDT,2026-09-07 04:00:00.001,0.00061653,0.08588471,Regular
牛来USDT,2026-09-07 08:00:00.000,0.00046489,0.08620175,Regular
牛来USDT,2026-09-07 12:00:00.000,0.00031317,0.08977797,Regular
牛来USDT,2026-09-07 16:00:00.003,0.00050697,0.08025297,Regular
牛来USDT,2026-09-07 20:00:00.000,0.00028348,0.08262474,Regular
牛来USDT,2026-09-08 00:00:00.004,0.00048691,0.08196000,Regular
牛来USDT,2026-09-08 04:00:00.000,0.00025357,0.08155946,Regular
牛来USDT,2026-09-08 08:00:00.002,0.00049768,0.09178000,Regular
牛来USDT,2026-09-08 12:00:00.006,0.0004738,0.08541000,Regular
牛来USDT,2026-09-08 16:00:00.001,0.00048687,0.09941000,Regular
牛来USDT,2026-09-08 20:00:00.002,8.088e-05,0.09712203,Regular
牛来USDT,2026-09-09 00:00:00.005,0.0004184,0.10196055,Regular
牛来USDT,2026-09-09 04:00:00.004,0.00027912,0.10717588,Regular
牛来USDT,2026-09-09 08:00:00.004,5e-05,0.10768540,Regular
牛来USDT,2026-09-09 12:00:00.004,2.579e-05,0.12123281,Regular
牛来USDT,2026-09-09 16:00:00.002,4.314e-05,0.09073631,Regular
牛来USDT,2026-09-09 20:00:00.000,0.00028423,0.08178000,Regular
牛来USDT,2026-09-10 00:00:00.000,5e-05,0.07850452,Regular
牛来USDT,2026-09-10 04:00:00.000,5e-05,0.08143423,Regular
牛来USDT,2026-09-10 08:00:00.007,5e-05,0.08010155,Regular
牛来USDT,2026-09-10 12:00:00.000,0.00014965,0.07632000,Regular
牛来USDT,2026-09-10 16:00:00.002,5e-05,0.08781680,Regular
牛来USDT,2026-09-10 20:00:00.000,0.00033791,0.11827924,Regular
牛来USDT,2026-09-11 00:00:00.008,0.00015046,0.12171600,Regular
牛来USDT,2026-09-11 04:00:00.005,5e-05,0.13458876,Regular
牛来USDT,2026-09-11 08:00:00.000,7.987e-05,0.12812060,Regular
牛来USDT,2026-09-11 12:00:00.000,0.00026447,0.13600280,Regular
牛来USDT,2026-09-11 16:00:00.000,0.00023763,0.14036080,Regular
牛来USDT,2026-09-11 20:00:00.004,0.00021527,0.12340637,Regular
牛来USDT,2026-09-12 00:00:00.001,0.00029498,0.12586170,Regular
牛来USDT,2026-09-12 04:00:00.002,7.15e-05,0.12580000,Regular
牛来USDT,2026-09-12 08:00:00.003,5e-05,0.14342301,Regular
牛来USDT,2026-09-12 12:00:00.000,5e-05,0.13451000,Regular
牛来USDT,2026-09-12 16:00:00.000,0.00014156,0.13570582,Regular
牛来USDT,2026-09-12 20:00:00.000,5e-05,0.12902197,Regular
牛来USDT,2026-09-13 00:00:00.002,5e-05,0.13521000,Regular
牛来USDT,2026-09-13 04:00:00.007,0.00013811,0.13501000,Regular
牛来USDT,2026-09-13 08:00:00.000,0.00017597,0.14244000,Regular
牛来USDT,2026-09-13 12:00:00.001,5e-05,0.13050497,Regular
