symbol,fundingTime,fundingRate,markPrice,rateType
龙虾USDT,2026-03-11 12:00:00.003,0.00140471,0.01880800,Regular
龙虾USDT,2026-03-11 16:00:00.010,0.00040402,0.01780365,Regular
龙虾USDT,2026-03-11 20:00:00.004,0.00059449,0.02018000,Regular
龙虾USDT,2026-03-12 00:00:00.000,0.0002663,0.01923900,Regular
龙虾USDT,2026-03-12 04:00:00.001,5e-05,0.01883700,Regular
龙虾USDT,2026-03-12 08:00:00.000,0.00024021,0.02062757,Regular
龙虾USDT,2026-03-12 12:00:00.006,0.00060139,0.02454984,Regular
龙虾USDT,2026-03-12 16:00:00.000,0.00024182,0.02122988,Regular
龙虾USDT,2026-03-12 20:00:00.006,5e-05,0.02140508,Regular
龙虾USDT,2026-03-13 00:00:00.006,5e-05,0.02126302,Regular
龙虾USDT,2026-03-13 04:00:00.005,0.00016281,0.02278038,Regular
龙虾USDT,2026-03-13 08:00:00.001,0.00042863,0.02045700,Regular
龙虾USDT,2026-03-13 12:00:00.003,0.00021656,0.02052800,Regular
龙虾USDT,2026-03-13 16:00:00.000,0.00013845,0.01896070,Regular
龙虾USDT,2026-03-13 20:00:00.000,0.00011189,0.01845083,Regular
龙虾USDT,2026-03-14 00:00:00.001,0.00026714,0.01763200,Regular
龙虾USDT,2026-03-14 04:00:00.002,0.00010983,0.01764800,Regular
龙虾USDT,2026-03-14 08:00:00.000,0.00023805,0.01594731,Regular
龙虾USDT,2026-03-14 12:00:00.000,5e-05,0.01628322,Regular
龙虾USDT,2026-03-14 16:00:00.007,5e-05,0.01600800,Regular
龙虾USDT,2026-03-14 20:00:00.000,5e-05,0.01635291,Regular
龙虾USDT,2026-03-15 00:00:00.000,5e-05,0.01679227,Regular
龙虾USDT,2026-03-15 04:00:00.000,5e-05,0.01700400,Regular
龙虾USDT,2026-03-15 08:00:00.000,0.00027784,0.01735000,Regular
龙虾USDT,2026-03-15 12:00:00.002,9.971e-05,0.01817458,Regular
龙虾USDT,2026-03-15 16:00:00.000,0.00021968,0.01756571,Regular
龙虾USDT,2026-03-15 20:00:00.000,0.00019926,0.01773763,Regular
龙虾USDT,2026-03-16 00:00:00.000,0.00017399,0.01811082,Regular
龙虾USDT,2026-03-16 04:00:00.006,0.00043671,0.01770935,Regular
龙虾USDT,2026-03-16 08:00:00.010,0.00024495,0.01778400,Regular
龙虾USDT,2026-03-16 12:00:00.002,0.00051597,0.01794800,Regular
龙虾USDT,2026-03-16 16:00:00.000,0.00028026,0.01838471,Regular
龙虾USDT,2026-03-16 20:00:00.001,0.00020779,0.01892324,Regular
龙虾USDT,2026-03-17 00:00:00.000,0.00021111,0.01851419,Regular
龙虾USDT,2026-03-17 04:00:00.008,5e-05,0.01802154,Regular
龙虾USDT,2026-03-17 08:00:00.002,0.00020383,0.01710900,Regular
龙虾USDT,2026-03-17 12:00:00.012,0.00034547,0.01624161,Regular
龙虾USDT,2026-03-17 16:00:00.011,0.00026461,0.01399300,Regular
龙虾USDT,2026-03-17 20:00:00.000,5e-05,0.01472261,Regular
龙虾USDT,2026-03-18 00:00:00.002,5e-05,0.01473400,Regular
龙虾USDT,2026-03-18 04:00:00.000,9.095e-05,0.01466356,Regular
龙虾USDT,2026-03-18 08:00:00.002,5e-05,0.01424329,Regular
龙虾USDT,2026-03-18 12:00:00.001,8.389e-05,0.01410770,Regular
龙虾USDT,2026-03-18 16:00:00.005,5e-05,0.01248454,Regular
龙虾USDT,2026-03-18 20:00:00.008,5e-05,0.01199900,Regular
龙虾USDT,2026-03-19 00:00:00.000,5e-05,0.01207700,Regular
龙虾USDT,2026-03-19 04:00:00.000,5e-05,0.01211626,Regular
龙虾USDT,2026-03-19 08:00:00.003,5e-05,0.01133002,Regular
龙虾USDT,2026-03-19 12:00:00.002,0.0001856,0.01191983,Regular
龙虾USDT,2026-03-19 16:00:00.003,0.00028301,0.01205100,Regular
龙虾USDT,2026-03-19 20:00:00.000,0.00050774,0.01233200,Regular
龙虾USDT,2026-03-20 00:00:00.002,0.00024723,0.01223674,Regular
龙虾USDT,2026-03-20 04:00:00.008,0.00033309,0.01186900,Regular
龙虾USDT,2026-03-20 08:00:00.000,0.00015825,0.01176100,Regular
龙虾USDT,2026-03-20 12:00:00.000,0.00041841,0.01172257,Regular
龙虾USDT,2026-03-20 16:00:00.000,0.00056462,0.01011486,Regular
龙虾USDT,2026-03-20 20:00:00.007,0.00039748,0.00999700,Regular
龙虾USDT,2026-03-21 00:00:00.000,0.0003323,0.00988138,Regular
龙虾USDT,2026-03-21 04:00:00.002,0.00036525,0.00977196,Regular
龙虾USDT,2026-03-21 08:00:00.000,0.00039278,0.00968055,Regular
龙虾USDT,2026-03-21 12:00:00.003,0.0004359,0.00949786,Regular
龙虾USDT,2026-03-21 16:00:00.014,0.00040638,0.00958000,Regular
龙虾USDT,2026-03-21 20:00:00.000,9.238e-05,0.00995308,Regular
龙虾USDT,2026-03-22 00:00:00.012,0.00050639,0.01012600,Regular
龙虾USDT,2026-03-22 04:00:00.003,5.427e-05,0.01044139,Regular
龙虾USDT,2026-03-22 08:00:00.007,5e-05,0.00986128,Regular
龙虾USDT,2026-03-22 12:00:00.000,5e-05,0.01022100,Regular
龙虾USDT,2026-03-22 16:00:00.002,5e-05,0.01043400,Regular
龙虾USDT,2026-03-22 20:00:00.000,5e-05,0.01106200,Regular
