trade_date,decision_date,bad_news_count,filtered_count,a0_a1_diff_count
20230201,20230131,14,0,0
20230301,20230228,30,3,0
20230403,20230331,368,219,4
20230504,20230428,1960,1082,18
20230601,20230531,30,1,0
20230703,20230630,51,1,0
20230801,20230731,28,3,0
20230901,20230831,641,466,9
20231009,20230928,305,135,5
20231101,20231031,625,361,14
20231201,20231130,155,95,3
20240102,20231229,6,0,0
20240201,20240131,3,0,0
20240301,20240229,6,1,0
20240401,20240329,95,58,1
20240506,20240430,804,513,24
20240603,20240531,2,0,0
20240701,20240628,1,0,0
20240801,20240731,3,1,0
20240902,20240830,510,287,3
20241008,20240930,135,61,0
20241101,20241031,654,458,3
20241202,20241129,413,252,3
20250102,20241231,10,0,0
20250205,20250127,6,0,0
20250303,20250228,7,2,0
20250401,20250331,128,80,0
20250506,20250430,797,466,14
20250603,20250530,222,123,3
20250701,20250630,2,0,0
20250801,20250731,7,4,0
20250901,20250829,490,362,11
20251009,20250930,6,0,0
20251103,20251031,590,298,15
20251201,20251128,409,202,11
20260105,20251231,2,0,0
20260202,20260130,0,0,0
20260302,20260227,2,0,0
20260401,20260331,119,58,1
20260506,20260430,199,141,2
20260601,20260529,0,0,0
20260701,20260630,0,0,0
20260803,20260731,0,0,0
