period_start,period_end,period_label,trading_days,rf_period,mkt,smb,vmg,pmo,ret_512100_bh,ret_etf_scs_b1,ret_cs_a0_b1,ret_cs_a1_b1,ret_cs_b0
20221230,20230131,202301,16,0.0009917355371900827,0.06512976100951814,0.004397377971761693,-0.004970371793031142,0.02110014613571845,0.08376545672118074,0.028864294727674933,0.0013231339819235188,0.0013231339819235188,0.0013231339819235188
20230131,20230228,202302,20,0.0012396694214876034,0.003142508768218241,0.018199921369274664,0.025263904639529697,0.01794680572153422,0.021715126978284705,0.0065656628254486815,0.011462548036294207,0.011462548036294207,0.012736235202894797
20230228,20230331,202303,23,0.0014256198347107438,-0.0033982644453135684,-0.006623662691748036,-0.003309510664825554,-0.021531126145330277,-0.012247838616714635,0.003778699337878999,0.0010964552209209444,0.0010964552209207223,-0.006488691216840481
20230331,20230428,202304,19,0.001177685950413223,-0.009684404493653731,-0.015485608293949599,0.02770748557899658,0.018347884432368983,-0.01823486506199845,0.001332179418635615,6.970283475049577e-05,-0.00039076430189088907,-0.0001510322869834324
20230428,20230531,202305,20,0.0012396694214876034,-0.03878964947874358,0.03144511344394138,-0.03153737187627359,-0.012000723381681828,-0.0234026745913819,0.0036142636790874594,-0.0021213138790633357,0.004955143172983512,-0.0033670703750138253
20230531,20230630,202306,20,0.0012396694214876034,-0.0024711010429848182,0.01742075487675465,0.004374624061510776,-0.0031651414220986327,0.011411182959299992,0.009764163802974846,0.00784250451245816,0.008545253514377515,0.007262281203039844
20230630,20230731,202307,21,0.0013016528925619835,0.020640863524607103,-0.0045808892888982745,0.06593101004110297,0.11070206689520135,-0.014667168108311257,0.001525990855528514,0.004370525338436071,0.004328784347082504,0.006951881569209117
20230731,20230831,202308,23,0.0014256198347107438,-0.05512775875481286,0.016068882697133725,-0.014249662956677699,0.004326642974800857,-0.06106870229007644,-0.000289038474514447,-0.00047739007667357836,-0.0004984756214395647,-0.0026703082918546617
20230831,20230928,202309,20,0.0012396694214876034,-0.008107240092672195,0.0076450480883310645,0.00971866045687678,0.013478584976488194,-0.0044715447154471955,0.0019700983095343183,0.0028844471055864407,0.003288338350492026,0.00014739345023517814
20230928,20231031,202310,17,0.0010537190082644627,-0.02602032056889516,0.021706915435160807,-0.02172938524649365,-0.024564512124752195,-0.01959983666802778,-0.0006455700891970784,-0.0027358395260995705,0.00034827828051176013,0.004251116880878314
