trade_date,held_stocks_count,micro_cap_count_ratio,micro_cap_value_weighted_ratio,mean_circ_mv_yi,median_circ_mv_yi,universe_p30_circ_mv_yi
20230531,39,25.64,25.45,91.29,36.79,23.62
20230831,38,26.32,26.72,80.98,40.57,24.01
20230928,39,23.08,23.33,146.9,44.86,24.29
20231031,40,35.0,34.09,65.37,32.59,24.33
20231229,39,23.08,21.4,97.72,43.59,25.51
20240229,40,37.5,38.86,51.58,21.42,20.18
20240329,39,35.9,35.57,33.09,27.83,22.01
20240430,39,35.9,34.68,98.82,24.47,21.59
20240731,40,30.0,30.83,160.14,32.3,19.56
20240830,40,22.5,20.51,144.66,57.18,19.25
20240930,39,20.51,20.09,315.22,68.45,23.61
20241031,40,12.5,12.6,154.16,67.72,25.24
20241129,39,23.08,26.43,378.81,59.77,26.91
20241231,40,5.0,5.02,1567.78,88.86,25.47
20250127,36,25.0,25.44,641.87,92.99,24.91
20250228,39,15.38,15.71,257.12,51.19,26.59
20250430,1,100.0,100.0,19.9,19.9,26.38
20250530,33,36.36,38.54,45.43,33.53,27.92
20250630,39,12.82,12.72,120.46,51.17,30.1
20250731,40,27.5,25.75,119.21,55.91,31.44
20250829,40,32.5,33.15,96.47,52.68,33.48
20251031,39,33.33,34.09,71.57,39.62,34.44
20260806,33,21.21,21.59,128.27,59.63,30.73
