trade_date,code,side,order_shares,reason
20230616,300370.SZ,SELL,3000,suspended
20230626,600719.SH,SELL,400,suspended
20230629,600719.SH,BUY,25400,suspended
20230630,600719.SH,BUY,66700,suspended
20230703,600719.SH,SELL,400,suspended
20230727,000572.SZ,BUY,900,limit_up
20231018,600439.SH,BUY,900,limit_up
20231205,000757.SZ,BUY,1300,limit_up
20231229,002323.SZ,BUY,4800,limit_up
20240305,605178.SH,BUY,200,limit_up
20240327,603377.SH,SELL,3500,limit_down
20240329,002963.SZ,BUY,700,limit_up
20240430,002856.SZ,BUY,1100,limit_up
20240430,603828.SH,BUY,3100,suspended
20240528,000692.SZ,SELL,1100,suspended
20240613,000793.SZ,BUY,7400,limit_up
20240625,600106.SH,SELL,1400,limit_down
20240712,000816.SZ,BUY,5100,limit_up
20240730,600386.SH,BUY,4600,limit_up
20240730,600187.SH,BUY,5900,limit_up
20240731,600386.SH,BUY,900,limit_up
20240930,600208.SH,BUY,2100,limit_up
20241008,600657.SH,BUY,13600,limit_up
20241008,600162.SH,BUY,36100,limit_up
20241008,002142.SZ,BUY,2400,limit_up
20241008,000600.SZ,BUY,11400,limit_up
20241008,000531.SZ,BUY,11100,limit_up
20241008,603321.SH,BUY,1000,limit_up
20241008,603488.SH,BUY,7500,limit_up
20241008,600834.SH,BUY,7700,limit_up
20241008,002132.SZ,BUY,22900,limit_up
20241008,002135.SZ,BUY,13500,limit_up
20241008,600558.SH,BUY,16200,limit_up
20241008,000778.SZ,BUY,16300,limit_up
20241008,600759.SH,BUY,25700,limit_up
20241008,002097.SZ,BUY,9500,limit_up
20241008,000688.SZ,BUY,5100,limit_up
20241008,603727.SH,BUY,5300,limit_up
20241104,000045.SZ,SELL,400,limit_down
20241121,603776.SH,BUY,800,suspended
20241122,603776.SH,BUY,300,suspended
20241125,603776.SH,BUY,200,suspended
20241127,603776.SH,SELL,300,suspended
20241129,603776.SH,SELL,200,suspended
20241202,603776.SH,SELL,1800,suspended
20241203,603776.SH,BUY,300,suspended
20241210,603776.SH,BUY,100,limit_up
20250107,600173.SH,BUY,600,limit_up
20250120,600243.SH,SELL,2700,limit_down
20250121,600243.SH,SELL,2000,limit_down
20250212,688168.SH,BUY,100,limit_up
20250224,605100.SH,BUY,600,limit_up
20250303,603776.SH,SELL,700,limit_down
20250312,603776.SH,SELL,300,suspended
20250313,603776.SH,BUY,1000,suspended
20250317,603776.SH,BUY,400,limit_up
20250319,603776.SH,BUY,300,limit_up
20250422,600696.SH,BUY,1600,suspended
20250425,600696.SH,SELL,800,limit_down
20250428,002253.SZ,SELL,1700,suspended
20250428,002214.SZ,SELL,2000,suspended
20250428,600696.SH,SELL,1800,limit_down
20250506,600696.SH,SELL,1800,limit_down
20250529,600834.SH,BUY,1800,limit_up
20250711,002564.SZ,BUY,1200,limit_up
20250711,600606.SH,BUY,4000,limit_up
20250714,600606.SH,BUY,2600,limit_up
20250807,002046.SZ,BUY,300,limit_up
20251009,603900.SH,BUY,400,limit_up
20251010,600172.SH,BUY,2500,limit_up
20251015,002193.SZ,SELL,2000,limit_down
20251111,603388.SH,SELL,7900,suspended
20251114,603388.SH,BUY,20800,suspended
20251118,603388.SH,BUY,13700,suspended
20251119,603388.SH,SELL,16900,suspended
20251120,603388.SH,SELL,10500,suspended
20251121,603388.SH,SELL,69100,suspended
20251126,603388.SH,BUY,880200,suspended
20251127,603388.SH,BUY,2274800,suspended
20251128,603388.SH,BUY,1877800,suspended
20251201,603388.SH,SELL,69100,suspended
20251203,603388.SH,BUY,35800,suspended
20251205,603388.SH,SELL,26000,suspended
20251208,603388.SH,SELL,21100,suspended
20251209,603388.SH,BUY,49800,suspended
20251210,603388.SH,BUY,47000,suspended
20251210,603101.SH,BUY,1600,limit_up
20251210,601933.SH,BUY,3900,limit_up
20251211,603388.SH,BUY,15200,suspended
20251212,603388.SH,SELL,26400,suspended
20251216,603388.SH,SELL,17000,suspended
20251218,603388.SH,SELL,69100,suspended
20251222,603388.SH,BUY,1157000,suspended
20251223,603388.SH,BUY,2554600,suspended
20251225,603388.SH,BUY,2835900,suspended
20251226,603388.SH,BUY,3372900,suspended
20251229,603388.SH,BUY,4250300,suspended
20251231,603388.SH,BUY,3563500,suspended
20260105,603388.SH,SELL,69100,suspended
20260107,603388.SH,BUY,22700,suspended
20260108,603388.SH,BUY,13400,suspended
20260109,603388.SH,BUY,12500,suspended
20260113,603388.SH,BUY,7300,suspended
20260114,603388.SH,SELL,6000,suspended
20260115,603388.SH,SELL,7300,suspended
20260116,603388.SH,SELL,30900,suspended
20260119,603388.SH,SELL,69100,suspended
20260122,603388.SH,BUY,558000,suspended
20260123,603388.SH,BUY,1032400,suspended
20260126,603388.SH,BUY,2127300,suspended
20260129,603388.SH,BUY,1667400,suspended
20260130,603388.SH,BUY,2198600,suspended
20260202,603388.SH,SELL,69100,suspended
20260203,603388.SH,SELL,69100,suspended
20260203,002207.SZ,SELL,2200,limit_down
20260205,603388.SH,BUY,618900,suspended
20260206,603388.SH,BUY,1121100,suspended
20260209,603388.SH,SELL,69100,suspended
20260210,603388.SH,BUY,292000,suspended
20260211,603388.SH,BUY,1175100,suspended
20260212,603388.SH,BUY,1575700,suspended
20260224,603388.SH,SELL,69100,suspended
20260225,603388.SH,BUY,463100,suspended
20260226,603388.SH,BUY,837900,suspended
20260227,603388.SH,BUY,1765800,suspended
20260302,603388.SH,SELL,69100,suspended
20260304,603388.SH,BUY,11800,suspended
20260305,603388.SH,SELL,25900,suspended
20260306,603388.SH,SELL,69100,suspended
20260311,603388.SH,BUY,321900,suspended
20260312,603388.SH,BUY,595300,suspended
20260313,603388.SH,BUY,1071400,suspended
20260316,603388.SH,BUY,571900,suspended
20260317,603388.SH,SELL,69100,suspended
20260326,603388.SH,BUY,1557300,suspended
20260327,603388.SH,BUY,2372500,suspended
20260331,603388.SH,BUY,1421900,suspended
20260401,603388.SH,SELL,69100,suspended
20260402,603388.SH,SELL,69100,suspended
20260409,603388.SH,BUY,675300,suspended
20260410,603388.SH,BUY,1491100,suspended
20260415,603388.SH,BUY,1840800,suspended
20260420,603388.SH,BUY,2186200,suspended
20260421,603388.SH,BUY,3514000,suspended
20260423,603388.SH,BUY,2667600,suspended
20260424,603388.SH,BUY,1417300,suspended
20260427,603388.SH,SELL,69100,suspended
20260506,603388.SH,SELL,69100,suspended
20260507,603388.SH,BUY,141400,suspended
20260508,603388.SH,BUY,61900,suspended
20260511,603388.SH,BUY,21800,suspended
20260511,300449.SZ,BUY,1400,limit_up
20260512,603388.SH,BUY,7400,suspended
20260512,300449.SZ,BUY,500,limit_up
20260513,603388.SH,SELL,10300,suspended
20260515,603388.SH,SELL,16100,suspended
20260518,603388.SH,SELL,24800,suspended
20260519,603388.SH,SELL,69100,suspended
20260520,603388.SH,BUY,608000,suspended
20260521,603388.SH,BUY,1328700,suspended
20260522,603388.SH,BUY,903400,suspended
20260527,603388.SH,BUY,1203200,suspended
20260528,603388.SH,SELL,69100,suspended
20260601,603388.SH,SELL,69100,suspended
20260617,603388.SH,BUY,910400,suspended
20260618,603388.SH,BUY,1802800,suspended
20260625,603388.SH,BUY,1526200,suspended
20260626,603388.SH,BUY,1002500,suspended
20260629,603388.SH,SELL,69100,suspended
20260701,603388.SH,SELL,69100,suspended
20260702,603388.SH,BUY,584700,suspended
20260707,603388.SH,SELL,69100,suspended
20260724,603388.SH,BUY,508900,suspended
20260727,603388.SH,SELL,69100,suspended
20260728,603388.SH,BUY,1047300,suspended
20260729,603388.SH,BUY,780100,suspended
20260730,603388.SH,BUY,1362800,suspended
20260731,603388.SH,SELL,69100,suspended
20260803,603388.SH,SELL,69100,suspended
20260805,603388.SH,BUY,242100,suspended
20260806,603388.SH,BUY,61400,suspended
