trade_date,nav_cs_b0,nav_cs_b1,nav_etf_b0,nav_etf_b1,delta_nav_b0,delta_nav_b1,equity_cs_b1,stock_val_cs_b1,cash_cs_b1
20221230,1.0,1.0,1.0,1.0,0.0,0.0,2200000.0,0.0,2200000.0
20230103,1.0000826446280993,1.0000826446280993,1.012218400410441,1.012218400410441,-0.012135755782341828,-0.012135755782341828,2200181.8181818184,0.0,2200181.8181818184
20230104,1.000165296086333,1.000165296086333,1.0121330080988138,1.012196917423924,-0.011967712012480813,-0.012031621337591059,2200363.6513899327,0.0,2200363.6513899327
20230105,1.0002479543752658,1.0002479543752658,1.018764117934382,1.0190141240812618,-0.018516163559116228,-0.018766169705995983,2200545.4996255846,0.0,2200545.4996255846
20230106,1.000330619495462,1.000330619495462,1.0192073782813773,1.0197337627083711,-0.018876758785915326,-0.019403143212909146,2200727.3628900163,0.0,2200727.3628900163
20230109,1.0004132914474864,1.0004132914474864,1.0198402878590718,1.0205557757462278,-0.019426996411585407,-0.020142484298741437,2200909.24118447,0.0,2200909.24118447
20230110,1.0004959702319034,1.0004959702319034,1.0199245721803825,1.0206401191987688,-0.019428601948479063,-0.02014414896686545,2201091.1345101874,0.0,2201091.1345101874
20230111,1.000578655849278,1.000578655849278,1.0200088634673394,1.0207244696218432,-0.019430207618061468,-0.02014581377256519,2201273.0428684116,0.0,2201273.0428684116
20230112,1.0006613483001747,1.0006613483001747,1.0201113394796142,1.0208179270475741,-0.019449991179439463,-0.0201565787473994,2201454.9662603843,0.0,2201454.9662603843
20230113,1.0007440475851581,1.0007440475851581,1.0209827718832252,1.0214206798997874,-0.020238724298067057,-0.02067663231462924,2201636.904687348,0.0,2201636.904687348
20230116,1.0008267537047932,1.0008267537047932,1.022179515329416,1.0224851286111238,-0.02135276162462274,-0.021658374906330602,2201818.858150545,0.0,2201818.858150545
20230117,1.000909466659645,1.000909466659645,1.0219637840246591,1.022360870640028,-0.021054317365014175,-0.021451403980383033,2202000.826651219,0.0,2202000.826651219
20230118,1.000992186450278,1.000992186450278,1.0226558370881274,1.022883299960667,-0.021663650637849363,-0.02189111351038897,2202182.8101906115,0.0,2202182.8101906115
20230119,1.0010749130772574,1.0010749130772574,1.0264160630503893,1.025681054503479,-0.02534114997313197,-0.02460614142622153,2202364.808769966,0.0,2202364.808769966
20230120,1.001157646541148,1.001157646541148,1.0270683248623202,1.027126892350607,-0.02591067832117222,-0.02596924580945892,2202546.8223905256,0.0,2202546.8223905256
20230130,1.001240386842515,1.001240386842515,1.027672116987488,1.0282077696022693,-0.02643173014497302,-0.0269673827597543,2202728.851053533,0.0,2202728.851053533
20230131,1.0013231339819235,1.0013231339819235,1.0285895123201416,1.028864294727675,-0.0272663783382181,-0.027541160745751414,2202910.894760232,0.0,2202910.894760232
20230201,1.0052227029396907,1.0038109345702693,1.0372509493325557,1.034706339863667,-0.032028246392864945,-0.030895405293397626,2208384.0560545926,743022.0,1465362.0560545926
20230202,1.0172479574691975,1.0124207194332318,1.0380266557793325,1.0352509513935866,-0.020778698310135013,-0.02283023196035483,2227325.5827531097,1439179.0,788146.5827531096
20230203,1.0146787232716554,1.010757144924695,1.036360827026594,1.0345621065999377,-0.02168210375493862,-0.02380496167524271,2223665.718834329,1435454.0,788211.7188343289
20230206,1.0124653772968317,1.0083152390826902,1.0347865592319214,1.032934369745952,-0.022321181935089696,-0.024619130663261934,2218293.5259819184,1241257.0,977036.5259819186
20230207,1.0127425245801545,1.0090214302074452,1.0359001348744568,1.03440131694763,-0.0231576102943023,-0.025379886740184876,2219847.1464563794,877780.0,1342067.1464563794
20230208,1.011278135346536,1.008141845952992,1.0322940012905395,1.031595548040691,-0.021015865944003398,-0.023453702087699035,2217912.0610965826,875734.0,1342178.0610965826
20230209,1.0156115586362342,1.0115986295014932,1.041927587321986,1.039916692451123,-0.02631602868575178,-0.028318062949629796,2225516.984903285,883228.0,1342288.9849032848
20230210,1.0192116353447245,1.0151885990351108,1.0395905481334293,1.0378627501792745,-0.02037891278870485,-0.022674151144163712,2233414.917877244,891015.0,1342399.9178772438
20230213,1.0210893836171424,1.018853575613506,1.0394616194242976,1.0398886116264991,-0.01837223580715519,-0.02103503601299317,2241477.866349713,616925.0,1624552.8663497127
20230214,1.0208109472212352,1.018727671130536,1.0400535725780258,1.0406009105511844,-0.019242625356790555,-0.02187323942064845,2241200.876487179,717526.0,1523674.8764871792
20230215,1.0203919326013589,1.018492890573342,1.040040663892867,1.0405677861220994,-0.019648731291508126,-0.022074895548757523,2240684.359261352,523652.0,1717032.359261352
20230216,1.0153515564292224,1.0128180574807149,1.0337357842502155,1.0353579102107693,-0.018384227820993138,-0.022539852730054433,2228199.7264575725,616925.0,1611274.7264575725
20230217,1.0148795329305047,1.012527767364541,1.033526371037109,1.0351944502440067,-0.01864683810660428,-0.022666682879465716,2227561.0882019904,0.0,2227561.0882019904
20230220,1.014963407272069,1.012611447345315,1.033611786439674,1.0352800035043574,-0.01864837916760509,-0.022668556159042508,2227745.184159693,0.0,2227745.184159693
20230221,1.0150472885453974,1.0126951342417896,1.0336972089013634,1.0353655638352257,-0.01864992035596602,-0.022670429593436126,2227929.2953319373,0.0,2227929.2953319373
20230222,1.0151311767510622,1.012778828054537,1.03378263842276,1.0354511312371957,-0.018651461671697733,-0.022672303182658782,2228113.4217199814,0.0,2228113.4217199814
20230223,1.0151265372594713,1.0128625287841282,1.0337094924043104,1.0355367057108515,-0.018582955144839097,-0.022674176926723355,2228297.563325082,0.0,2228297.563325082
20230224,1.0146954017459835,1.012946236431135,1.033612479134619,1.035622287256778,-0.018917077388635573,-0.022676050825642946,2228481.7201484973,0.0,2228481.7201484973
20230227,1.014089711267615,1.01274443741803,1.033210009111232,1.0355605499944462,-0.019120297843616907,-0.022816112576416137,2228037.7623196663,79007.0,2149030.7623196663
20230228,1.014076220930417,1.012800848505044,1.033242135494804,1.03561947078,-0.019165914564386988,-0.022818622274956013,2228161.866711097,0.0,2228161.866711097
20230301,1.01416002888256,1.0128845510545073,1.0333275274068285,1.0357050591660146,-0.019167498524268467,-0.022820508111507376,2228346.012319916,0.0,2228346.012319916
20230302,1.0142438437609802,1.0129682605215364,1.0334129263760357,1.0357906546254498,-0.019169082615055455,-0.0228223941039134,2228530.1731473804,0.0,2228530.1731473804
20230303,1.0143214966608776,1.0130246034021582,1.0331676694075553,1.0357106701256182,-0.01884617274667777,-0.022686066723460074,2228654.127484748,140683.0,2087971.1274847484
