trade_date,code,target_weight
20230201,301228.SZ,0.0091
20230201,300370.SZ,0.0091
20230201,688528.SH,0.0091
20230201,688337.SH,0.0091
20230201,000592.SZ,0.0091
20230201,600199.SH,0.0091
20230201,600573.SH,0.0091
20230201,002461.SZ,0.0091
20230201,600600.SH,0.0091
20230201,600132.SH,0.0091
20230201,000410.SZ,0.0091
20230201,002122.SZ,0.0091
20230201,002520.SZ,0.0091
20230201,600397.SH,0.0091
20230201,300161.SZ,0.0091
20230201,600265.SH,0.0091
20230201,600696.SH,0.0091
20230201,000596.SZ,0.0091
20230201,600779.SH,0.0091
20230201,002679.SZ,0.0091
20230201,000702.SZ,0.0091
20230201,000876.SZ,0.0091
20230201,603363.SH,0.0091
20230201,002548.SZ,0.0091
20230201,002186.SZ,0.0091
20230201,000721.SZ,0.0091
20230201,300048.SZ,0.0091
20230201,000610.SZ,0.0091
20230201,001896.SZ,0.0091
20230201,600744.SH,0.0091
20230201,600396.SH,0.0091
20230201,000037.SZ,0.0091
20230201,000428.SZ,0.0091
20230201,688567.SH,0.0091
20230201,000663.SZ,0.0091
20230201,002306.SZ,0.0091
20230201,600758.SH,0.0091
20230201,603861.SH,0.0091
20230201,600847.SH,0.0091
20230201,601088.SH,0.0091
20230202,301228.SZ,0.016
20230202,300370.SZ,0.016
20230202,688528.SH,0.016
20230202,688337.SH,0.016
20230202,000592.SZ,0.016
20230202,600199.SH,0.016
20230202,600573.SH,0.016
20230202,002461.SZ,0.016
20230202,600600.SH,0.016
20230202,600132.SH,0.016
20230202,000410.SZ,0.016
20230202,002122.SZ,0.016
20230202,002520.SZ,0.016
20230202,600397.SH,0.016
20230202,300161.SZ,0.016
20230202,600265.SH,0.016
20230202,600696.SH,0.016
20230202,000596.SZ,0.016
20230202,600779.SH,0.016
20230202,002679.SZ,0.016
20230202,000702.SZ,0.016
20230202,000876.SZ,0.016
20230202,603363.SH,0.016
20230202,002548.SZ,0.016
20230202,002186.SZ,0.016
20230202,000721.SZ,0.016
20230202,300048.SZ,0.016
20230202,000610.SZ,0.016
20230202,001896.SZ,0.016
20230202,600744.SH,0.016
20230202,600396.SH,0.016
20230202,000037.SZ,0.016
20230202,000428.SZ,0.016
20230202,688567.SH,0.016
20230202,000663.SZ,0.016
20230202,002306.SZ,0.016
20230202,600758.SH,0.016
20230202,603861.SH,0.016
20230202,600847.SH,0.016
20230202,601088.SH,0.016
20230203,301228.SZ,0.016
20230203,300370.SZ,0.016
20230203,688528.SH,0.016
20230203,688337.SH,0.016
20230203,000592.SZ,0.016
20230203,600199.SH,0.016
20230203,600573.SH,0.016
20230203,002461.SZ,0.016
20230203,600600.SH,0.016
20230203,600132.SH,0.016
20230203,000410.SZ,0.016
20230203,002122.SZ,0.016
20230203,002520.SZ,0.016
20230203,600397.SH,0.016
20230203,300161.SZ,0.016
20230203,600265.SH,0.016
20230203,600696.SH,0.016
20230203,000596.SZ,0.016
20230203,600779.SH,0.016
20230203,002679.SZ,0.016
20230203,000702.SZ,0.016
20230203,000876.SZ,0.016
20230203,603363.SH,0.016
20230203,002548.SZ,0.016
20230203,002186.SZ,0.016
20230203,000721.SZ,0.016
20230203,300048.SZ,0.016
20230203,000610.SZ,0.016
20230203,001896.SZ,0.016
20230203,600744.SH,0.016
20230203,600396.SH,0.016
20230203,000037.SZ,0.016
20230203,000428.SZ,0.016
20230203,688567.SH,0.016
20230203,000663.SZ,0.016
20230203,002306.SZ,0.016
20230203,600758.SH,0.016
20230203,603861.SH,0.016
20230203,600847.SH,0.016
20230203,601088.SH,0.016
20230206,301228.SZ,0.0139
20230206,300370.SZ,0.0139
20230206,688528.SH,0.0139
20230206,688337.SH,0.0139
20230206,000592.SZ,0.0139
20230206,600199.SH,0.0139
20230206,600573.SH,0.0139
20230206,002461.SZ,0.0139
20230206,600600.SH,0.0139
20230206,600132.SH,0.0139
20230206,000410.SZ,0.0139
20230206,002122.SZ,0.0139
20230206,002520.SZ,0.0139
20230206,600397.SH,0.0139
20230206,300161.SZ,0.0139
20230206,600265.SH,0.0139
20230206,600696.SH,0.0139
20230206,000596.SZ,0.0139
20230206,600779.SH,0.0139
20230206,002679.SZ,0.0139
20230206,000702.SZ,0.0139
20230206,000876.SZ,0.0139
20230206,603363.SH,0.0139
20230206,002548.SZ,0.0139
20230206,002186.SZ,0.0139
20230206,000721.SZ,0.0139
20230206,300048.SZ,0.0139
20230206,000610.SZ,0.0139
20230206,001896.SZ,0.0139
20230206,600744.SH,0.0139
20230206,600396.SH,0.0139
20230206,000037.SZ,0.0139
20230206,000428.SZ,0.0139
20230206,688567.SH,0.0139
20230206,000663.SZ,0.0139
20230206,002306.SZ,0.0139
20230206,600758.SH,0.0139
20230206,603861.SH,0.0139
20230206,600847.SH,0.0139
20230206,601088.SH,0.0139
20230207,301228.SZ,0.01
