trade_date,code,asset_type,side,target_shares,order_shares,reason
20230201,301228.SZ,STOCK,BUY,1200,1200,monthly
20230201,300370.SZ,STOCK,BUY,8200,8200,monthly
20230201,688528.SH,STOCK,BUY,1800,1800,monthly
20230201,688337.SH,STOCK,BUY,100,100,monthly
20230201,000592.SZ,STOCK,BUY,7300,7300,monthly
20230201,600199.SH,STOCK,BUY,700,700,monthly
20230201,600573.SH,STOCK,BUY,1900,1900,monthly
20230201,002461.SZ,STOCK,BUY,2500,2500,monthly
20230201,600600.SH,STOCK,BUY,100,100,monthly
20230201,600132.SH,STOCK,BUY,100,100,monthly
20230201,000410.SZ,STOCK,BUY,3400,3400,monthly
20230201,002122.SZ,STOCK,BUY,6200,6200,monthly
20230201,002520.SZ,STOCK,BUY,2400,2400,monthly
20230201,600397.SH,STOCK,BUY,6300,6300,monthly
20230201,300161.SZ,STOCK,BUY,700,700,monthly
20230201,600265.SH,STOCK,BUY,1300,1300,monthly
20230201,600696.SH,STOCK,BUY,800,800,monthly
20230201,600779.SH,STOCK,BUY,200,200,monthly
20230201,002679.SZ,STOCK,BUY,1600,1600,monthly
20230201,000702.SZ,STOCK,BUY,3400,3400,monthly
20230201,000876.SZ,STOCK,BUY,1500,1500,monthly
20230201,603363.SH,STOCK,BUY,1400,1400,monthly
20230201,002548.SZ,STOCK,BUY,3400,3400,monthly
20230201,002186.SZ,STOCK,BUY,1300,1300,monthly
20230201,000721.SZ,STOCK,BUY,1300,1300,monthly
20230201,300048.SZ,STOCK,BUY,3700,3700,monthly
20230201,000610.SZ,STOCK,BUY,1300,1300,monthly
20230201,001896.SZ,STOCK,BUY,3900,3900,monthly
20230201,600744.SH,STOCK,BUY,4500,4500,monthly
20230201,600396.SH,STOCK,BUY,7400,7400,monthly
20230201,000037.SZ,STOCK,BUY,2400,2400,monthly
20230201,000428.SZ,STOCK,BUY,3700,3700,monthly
20230201,688567.SH,STOCK,BUY,700,700,monthly
20230201,000663.SZ,STOCK,BUY,2200,2200,monthly
20230201,002306.SZ,STOCK,BUY,4400,4400,monthly
20230201,600758.SH,STOCK,BUY,4900,4900,monthly
20230201,603861.SH,STOCK,BUY,2400,2400,monthly
20230201,600847.SH,STOCK,BUY,1300,1300,monthly
20230201,601088.SH,STOCK,BUY,700,700,monthly
20230202,301228.SZ,STOCK,BUY,2300,1100,timing
20230202,300370.SZ,STOCK,BUY,15600,7400,timing
20230202,688528.SH,STOCK,BUY,3400,1600,timing
20230202,688337.SH,STOCK,BUY,200,100,timing
20230202,000592.SZ,STOCK,BUY,13900,6600,timing
20230202,600199.SH,STOCK,BUY,1300,600,timing
20230202,600573.SH,STOCK,BUY,3600,1700,timing
20230202,002461.SZ,STOCK,BUY,4800,2300,timing
20230202,600600.SH,STOCK,BUY,200,100,timing
20230202,600132.SH,STOCK,BUY,200,100,timing
20230202,000410.SZ,STOCK,BUY,6500,3100,timing
20230202,002122.SZ,STOCK,BUY,11800,5600,timing
20230202,002520.SZ,STOCK,BUY,4600,2200,timing
20230202,600397.SH,STOCK,BUY,12000,5700,timing
20230202,300161.SZ,STOCK,BUY,1300,600,timing
20230202,600265.SH,STOCK,BUY,2500,1200,timing
20230202,600696.SH,STOCK,BUY,1500,700,timing
20230202,600779.SH,STOCK,BUY,400,200,timing
20230202,002679.SZ,STOCK,BUY,3000,1400,timing
20230202,000702.SZ,STOCK,BUY,6500,3100,timing
20230202,000876.SZ,STOCK,BUY,2900,1400,timing
20230202,603363.SH,STOCK,BUY,2700,1300,timing
20230202,002548.SZ,STOCK,BUY,6500,3100,timing
20230202,002186.SZ,STOCK,BUY,2500,1200,timing
20230202,000721.SZ,STOCK,BUY,2500,1200,timing
20230202,300048.SZ,STOCK,BUY,7000,3300,timing
20230202,000610.SZ,STOCK,BUY,2500,1200,timing
20230202,001896.SZ,STOCK,BUY,7400,3500,timing
20230202,600744.SH,STOCK,BUY,8600,4100,timing
20230202,600396.SH,STOCK,BUY,14100,6700,timing
20230202,000037.SZ,STOCK,BUY,4600,2200,timing
20230202,000428.SZ,STOCK,BUY,7000,3300,timing
20230202,688567.SH,STOCK,BUY,1300,600,timing
20230202,000663.SZ,STOCK,BUY,4200,2000,timing
20230202,002306.SZ,STOCK,BUY,8400,4000,timing
20230202,600758.SH,STOCK,BUY,9300,4400,timing
20230202,603861.SH,STOCK,BUY,4600,2200,timing
20230202,600847.SH,STOCK,BUY,2500,1200,timing
20230202,601088.SH,STOCK,BUY,1300,600,timing
20230206,301228.SZ,STOCK,SELL,2000,300,timing
20230206,300370.SZ,STOCK,SELL,13500,2100,timing
20230206,688528.SH,STOCK,SELL,2900,500,timing
20230206,000592.SZ,STOCK,SELL,12000,1900,timing
20230206,600199.SH,STOCK,SELL,1100,200,timing
20230206,600573.SH,STOCK,SELL,3100,500,timing
20230206,002461.SZ,STOCK,SELL,4100,700,timing
20230206,000410.SZ,STOCK,SELL,5600,900,timing
20230206,002122.SZ,STOCK,SELL,10200,1600,timing
20230206,002520.SZ,STOCK,SELL,4000,600,timing
20230206,600397.SH,STOCK,SELL,10400,1600,timing
20230206,300161.SZ,STOCK,SELL,1100,200,timing
20230206,600265.SH,STOCK,SELL,2200,300,timing
20230206,600696.SH,STOCK,SELL,1300,200,timing
20230206,600779.SH,STOCK,SELL,300,100,timing
20230206,002679.SZ,STOCK,SELL,2600,400,timing
20230206,000702.SZ,STOCK,SELL,5600,900,timing
20230206,000876.SZ,STOCK,SELL,2500,400,timing
20230206,603363.SH,STOCK,SELL,2300,400,timing
20230206,002548.SZ,STOCK,SELL,5600,900,timing
20230206,002186.SZ,STOCK,SELL,2200,300,timing
