trade_date,code,asset_type,shares,tradable_shares,price,market_val,weight
20230103,512100.SH,ETF,464000,0,2.564,1189696.0,0.5342433104077476
20230104,512100.SH,ETF,553000,464000,2.564,1417892.0,0.6367302177491599
20230105,512100.SH,ETF,553000,553000,2.591,1432823.0,0.6391306719181892
20230106,512100.SH,ETF,438600,438600,2.595,1138167.0,0.5073369690041247
20230112,512100.SH,ETF,40800,0,2.592,105753.6,0.04708951215310891
20230113,512100.SH,ETF,77600,40800,2.608,202380.80000000002,0.09006208170398322
20230116,512100.SH,ETF,77600,77600,2.636,204553.6,0.09093424098715791
20230117,512100.SH,ETF,123800,77600,2.633,325965.4,0.14492543207012076
20230118,512100.SH,ETF,123800,123800,2.641,326955.8,0.14529152321969424
20230119,512100.SH,ETF,192400,123800,2.672,514092.80000000005,0.22782769012699247
20230120,512100.SH,ETF,121800,121800,2.697,328494.60000000003,0.14537223042716205
20230130,512100.SH,ETF,69700,69700,2.708,188747.6,0.08344068793562079
20230131,512100.SH,ETF,156700,69700,2.717,425753.9,0.18809526289492148
20230201,512100.SH,ETF,304000,156700,2.761,839344.0,0.36872297511028024
20230202,512100.SH,ETF,527700,304000,2.765,1459090.5,0.6406397923640327
20230203,512100.SH,ETF,527700,527700,2.762,1457507.4,0.6403707997905164
20230206,512100.SH,ETF,460200,460200,2.756,1268311.2,0.5581236405667099
20230207,512100.SH,ETF,330800,330800,2.764,914331.2,0.4017832190464354
20230208,512100.SH,ETF,330800,330800,2.745,908046.0,0.4001065946844325
20230209,512100.SH,ETF,330800,330800,2.8,926239.9999999999,0.4048576053008881
20230210,512100.SH,ETF,330800,330800,2.786,921608.8,0.4036305290239295
20230213,512100.SH,ETF,222100,222100,2.812,624545.2,0.2729947983314828
20230214,512100.SH,ETF,263200,222100,2.818,741697.6,0.32398133550421293
20230215,512100.SH,ETF,187400,187400,2.817,527905.8,0.2306021626062768
20230216,512100.SH,ETF,229900,187400,2.767,636133.2999999999,0.27927685406985203
20230227,512100.SH,ETF,42600,0,2.754,117320.4,0.051496220617655374
20230303,512100.SH,ETF,64800,0,2.779,180079.19999999998,0.07903189971795305
20230309,512100.SH,ETF,73700,0,2.753,202896.1,0.08901175682182486
20230310,512100.SH,ETF,185900,73700,2.713,504346.7,0.2218205424342154
20230313,512100.SH,ETF,185900,185900,2.726,506763.4,0.22263249388209466
20230314,512100.SH,ETF,185900,185900,2.701,502115.9,0.2210278269322731
20230315,512100.SH,ETF,185900,185900,2.714,504532.6,0.22184136135217072
20230316,512100.SH,ETF,263500,185900,2.673,704335.5,0.311104938166114
20230317,512100.SH,ETF,300900,263500,2.693,810323.7000000001,0.3570305547955691
20230320,512100.SH,ETF,379700,300900,2.682,1018355.4,0.44954894730340994
20230321,512100.SH,ETF,379700,379700,2.716,1031265.2000000001,0.4526477052839143
20230322,512100.SH,ETF,451400,379700,2.727,1230967.8,0.5391973327202252
20230323,512100.SH,ETF,362700,362700,2.737,992709.9,0.43414682453337916
20230324,512100.SH,ETF,289500,289500,2.739,792940.5,0.3466782520690639
20230328,512100.SH,ETF,37700,0,2.728,102845.6,0.04498553211637901
20230406,512100.SH,ETF,71700,0,2.784,199612.8,0.08722433534203576
20230407,512100.SH,ETF,160500,71700,2.808,450684.0,0.19660095366812644
20230410,512100.SH,ETF,192500,160500,2.783,535727.5,0.23420039915097823
20230411,512100.SH,ETF,115300,115300,2.784,320995.19999999995,0.1403405363438516
20230508,512100.SH,ETF,47600,0,2.672,127187.20000000001,0.055503599921426686
20230509,512100.SH,ETF,135700,47600,2.64,358248.0,0.15667314174524122
20230525,512100.SH,ETF,146000,0,2.599,379454.0,0.16588209748356772
20230526,512100.SH,ETF,315500,146000,2.622,827241.0,0.3602955926502294
20230529,512100.SH,ETF,394900,315500,2.617,1033453.3,0.45060569834071657
20230530,512100.SH,ETF,394900,394900,2.628,1037797.2000000001,0.4516238306105204
20230531,512100.SH,ETF,334100,334100,2.629,878348.9,0.3821740548543166
20230601,512100.SH,ETF,334100,334100,2.635,880353.4999999999,0.38269293694353523
20230602,512100.SH,ETF,298000,298000,2.653,790594.0,0.3428362768568854
20230605,512100.SH,ETF,197400,197400,2.654,523899.6,0.22716506236640258
20230606,512100.SH,ETF,117000,117000,2.598,303966.0,0.13217771270549353
20230608,512100.SH,ETF,61100,0,2.586,158004.59999999998,0.06870237209196692
20230609,512100.SH,ETF,61100,61100,2.604,159104.4,0.06914219294415583
20230612,512100.SH,ETF,159200,61100,2.616,416467.2,0.18082461069589073
20230613,512100.SH,ETF,211800,159200,2.627,556398.6,0.24133995594077082
20230614,512100.SH,ETF,291800,211800,2.636,769184.8,0.33325394994905927
20230615,512100.SH,ETF,291800,291800,2.651,773561.7999999999,0.33449755144362575
20230616,512100.SH,ETF,151300,151300,2.674,404576.2,0.1747147428835224
20230620,512100.SH,ETF,36400,0,2.686,97770.4,0.0422222934742787
20230621,512100.SH,ETF,36400,36400,2.633,95841.2,0.04142039541711791
20230629,512100.SH,ETF,49600,0,2.618,129852.79999999999,0.056095546524318966
20230630,512100.SH,ETF,128600,49600,2.659,341947.39999999997,0.14734435117807743
20230703,512100.SH,ETF,128600,128600,2.653,341175.8,0.1470503996610483
