trade_date,code,side,shares,price,value,fee
20230103,512100.SH,BUY,464000,2.5055009999999998,1162552.464,348.7657391999999
20230104,512100.SH,BUY,89000,2.5645128,228241.6392,68.47249176
20230106,512100.SH,SELL,114400,2.589482,296236.74079999997,88.87102223999999
20230109,512100.SH,SELL,438600,2.5994800000000002,1140131.928,342.0395784
20230112,512100.SH,BUY,40800,2.590518,105693.1344,31.707940319999995
20230113,512100.SH,BUY,36800,2.5935186,95441.48448,28.632445343999997
20230117,512100.SH,BUY,46200,2.6365272,121807.55664000001,36.542266992
20230119,512100.SH,BUY,68600,2.6395277999999998,181071.60708,54.32148212399999
20230120,512100.SH,SELL,70600,2.6724654,188676.05724,56.602817171999995
20230130,512100.SH,SELL,52100,2.7254548,141996.19508,42.598858524
20230131,512100.SH,BUY,87000,2.7085416,235643.11920000002,70.69293576
20230201,512100.SH,BUY,147300,2.7205440000000003,400736.13120000006,120.22083936000001
20230202,512100.SH,BUY,223700,2.7645527999999997,618430.46136,185.52913840799997
20230206,512100.SH,SELL,67500,2.74945,185587.875,55.676362499999996
20230207,512100.SH,SELL,129400,2.7604478,357201.94532,107.160583596
20230213,512100.SH,SELL,108700,2.7734452000000003,301473.49324000004,90.442047972
20230214,512100.SH,BUY,41100,2.8145628,115678.53108,34.703559324
20230215,512100.SH,SELL,75800,2.8184362,213637.46396,64.09123918799999
20230216,512100.SH,BUY,42500,2.8185636,119788.95300000001,35.9366859
20230217,512100.SH,SELL,229900,2.7654468,635776.2193199999,190.73286579599997
20230227,512100.SH,BUY,42600,2.7605519999999997,117599.51519999998,35.27985455999999
20230228,512100.SH,SELL,42600,2.7534492,117296.93592,35.189080776
20230303,512100.SH,BUY,64800,2.7835566,180374.46768,54.11234030399999
20230306,512100.SH,SELL,64800,2.7754448,179848.82304,53.954646911999994
20230309,512100.SH,BUY,73700,2.7465492,202420.67604,60.72620281199999
20230310,512100.SH,BUY,112200,2.7385476,307265.04072,92.17951221599999
20230316,512100.SH,BUY,77600,2.7085416,210182.82816,63.054848447999994
20230317,512100.SH,BUY,37400,2.685537,100439.08380000001,30.13172514
20230320,512100.SH,BUY,78800,2.6955389999999997,212408.47319999998,63.72254195999999
20230322,512100.SH,BUY,71700,2.7205440000000003,195063.00480000002,58.51890144
20230323,512100.SH,SELL,88700,2.7264546,241836.52302,72.550956906
20230324,512100.SH,SELL,73200,2.7374524,200381.51568,60.114454703999996
20230327,512100.SH,SELL,289500,2.7384522,792781.9119,237.83457356999998
20230328,512100.SH,BUY,37700,2.7545508,103846.56516,31.153969547999996
20230329,512100.SH,SELL,37700,2.734453,103088.87809999999,30.926663429999994
20230406,512100.SH,BUY,71700,2.7695538,198577.00746000002,59.573102238000004
20230407,512100.SH,BUY,88800,2.7845568,247268.64383999998,74.18059315199999
20230410,512100.SH,BUY,32000,2.8145628,90066.0096,27.01980288
20230411,512100.SH,SELL,77200,2.7774444000000003,214418.70768000002,64.325612304
20230412,512100.SH,SELL,115300,2.7874423999999998,321392.10871999996,96.41763261599998
20230508,512100.SH,BUY,47600,2.6515302,126212.83751999999,37.86385125599999
20230509,512100.SH,BUY,88100,2.6795357999999996,236067.10397999996,70.82013119399998
20230510,512100.SH,SELL,135700,2.634473,357497.9861,107.24939582999998
20230525,512100.SH,BUY,146000,2.6015202,379821.9492,113.94658475999998
20230526,512100.SH,BUY,169500,2.5915182000000003,439262.3349000001,131.77870047000002
20230529,512100.SH,BUY,79400,2.6295258,208784.34852,62.635304555999994
20230531,512100.SH,SELL,60800,2.6274744,159750.44352,47.92513305599999
20230602,512100.SH,SELL,36100,2.639472,95284.93920000001,28.58548176
20230605,512100.SH,SELL,100600,2.6524694,266838.42164,80.051526492
20230606,512100.SH,SELL,80400,2.6524694,213258.53976,63.977561928
20230607,512100.SH,SELL,117000,2.6034792,304607.0664,91.38211992
20230608,512100.SH,BUY,61100,2.5975194,158708.43534,47.61253060199999
20230612,512100.SH,BUY,98100,2.6035206,255405.37086,76.62161125799999
20230613,512100.SH,BUY,52600,2.6185235999999996,137734.34136,41.320302407999996
20230614,512100.SH,BUY,80000,2.6275253999999997,210202.03199999998,63.060609599999985
20230616,512100.SH,SELL,140500,2.6474704,371969.5912,111.59087736
20230619,512100.SH,SELL,151300,2.6724654,404344.01502,121.30320450599999
20230620,512100.SH,BUY,36400,2.6865372,97789.95408,29.336986223999997
20230626,512100.SH,SELL,36400,2.6214756,95421.71184,28.626513552
20230629,512100.SH,BUY,49600,2.6035206,129134.62176,38.740386527999995
20230630,512100.SH,BUY,79000,2.6115222,206310.2538,61.89307614
20230705,512100.SH,SELL,58700,2.6584681999999997,156052.08333999998,46.81562500199999
20230706,512100.SH,SELL,69900,2.6374724,184359.32076,55.307796227999994
20230711,512100.SH,BUY,52900,2.6275253999999997,138996.09365999998,41.69882809799999
20230713,512100.SH,BUY,37700,2.6165232,98642.92464,29.592877392
20230718,512100.SH,SELL,44600,2.6204758,116873.22068,35.061966203999994
20230719,512100.SH,SELL,46000,2.6164766,120357.9236,36.10737707999999
20230727,512100.SH,BUY,69100,2.6045208,179972.38728,53.99171618399999
20230728,512100.SH,BUY,71000,2.5705139999999997,182506.49399999998,54.75194819999999
20230731,512100.SH,SELL,140100,2.6024794000000004,364607.36394000007,109.38220918200001
20230822,512100.SH,BUY,121300,2.445489,296637.8157,88.99134470999998
20230823,512100.SH,SELL,38500,2.4405118,93959.7043,28.187911289999995
20230825,512100.SH,SELL,82800,2.3975204000000003,198514.68912000002,59.554406736000004
20230831,512100.SH,BUY,107800,2.465493,265780.1454,79.73404361999998
20230904,512100.SH,SELL,107800,2.4615076000000005,265350.51928000007,79.60515578400002
20230905,512100.SH,BUY,41700,2.4894977999999996,103812.05825999999,31.143617477999996
20230906,512100.SH,SELL,41700,2.4695060000000004,102978.40020000002,30.893520060000004
20230907,512100.SH,BUY,183300,2.4894977999999996,456324.9467399999,136.89748402199996
20230908,512100.SH,SELL,75000,2.4435112,183263.34,54.979001999999994
20230912,512100.SH,SELL,108300,2.4805038,268638.56154,80.591568462
20230918,512100.SH,BUY,43800,2.4374873999999997,106761.94811999999,32.028584435999996
20230919,512100.SH,BUY,39900,2.4474894,97654.82706,29.296448117999997
20230920,512100.SH,SELL,39200,2.4255148,95080.18016,28.524054048
20230921,512100.SH,SELL,44500,2.39952,106778.64,32.033592
20230926,512100.SH,BUY,98400,2.4254849999999997,238667.72399999996,71.60031719999998
20230927,512100.SH,BUY,131300,2.415483,317152.9179,95.14587537
20230928,512100.SH,BUY,159300,2.4314862,387335.75166,116.200725498
20231009,512100.SH,BUY,42700,2.4404879999999998,104208.83759999998,31.262651279999993
20231010,512100.SH,BUY,90900,2.4414881999999998,221931.27737999998,66.57938321399999
20231012,512100.SH,SELL,103200,2.4475104,252583.07328,75.774921984
20231013,512100.SH,SELL,186000,2.439512,453749.232,136.1247696
20231017,512100.SH,BUY,118900,2.4224844,288033.39516,86.410018548
20231018,512100.SH,BUY,43400,2.4094817999999996,104571.51011999998,31.37145303599999
20231020,512100.SH,SELL,138300,2.3455308,324386.90964,97.316072892
20231024,512100.SH,SELL,106300,2.269546,241252.7398,72.37582194
20231025,512100.SH,BUY,71200,2.3164632,164932.17984,49.47965395199999
20231026,512100.SH,BUY,158000,2.3164632,366001.18559999997,109.80035567999998
20231027,512100.SH,BUY,167300,2.3324664,390221.62872,117.06648861599999
