trade_date,code,asset_type,side,target_shares,order_shares,reason
20230103,512100.SH,ETF,BUY,464000,464000,timing
20230104,512100.SH,ETF,BUY,553000,89000,timing
20230106,512100.SH,ETF,SELL,438600,114400,timing
20230109,512100.SH,ETF,SELL,0,438600,timing
20230112,512100.SH,ETF,BUY,40800,40800,timing
20230113,512100.SH,ETF,BUY,77600,36800,timing
20230117,512100.SH,ETF,BUY,123800,46200,timing
20230119,512100.SH,ETF,BUY,192400,68600,timing
20230120,512100.SH,ETF,SELL,121800,70600,timing
20230130,512100.SH,ETF,SELL,69700,52100,timing
20230131,512100.SH,ETF,BUY,156700,87000,timing
20230201,512100.SH,ETF,BUY,304000,147300,timing
20230202,512100.SH,ETF,BUY,527700,223700,timing
20230206,512100.SH,ETF,SELL,460200,67500,timing
20230207,512100.SH,ETF,SELL,330800,129400,timing
20230213,512100.SH,ETF,SELL,222100,108700,timing
20230214,512100.SH,ETF,BUY,263200,41100,timing
20230215,512100.SH,ETF,SELL,187400,75800,timing
20230216,512100.SH,ETF,BUY,229900,42500,timing
20230217,512100.SH,ETF,SELL,0,229900,timing
20230227,512100.SH,ETF,BUY,42600,42600,timing
20230228,512100.SH,ETF,SELL,0,42600,timing
20230303,512100.SH,ETF,BUY,64800,64800,timing
20230306,512100.SH,ETF,SELL,0,64800,timing
20230309,512100.SH,ETF,BUY,73700,73700,timing
20230310,512100.SH,ETF,BUY,185900,112200,timing
20230316,512100.SH,ETF,BUY,263500,77600,timing
20230317,512100.SH,ETF,BUY,300900,37400,timing
20230320,512100.SH,ETF,BUY,379700,78800,timing
20230322,512100.SH,ETF,BUY,451400,71700,timing
20230323,512100.SH,ETF,SELL,362700,88700,timing
20230324,512100.SH,ETF,SELL,289500,73200,timing
20230327,512100.SH,ETF,SELL,0,289500,timing
20230328,512100.SH,ETF,BUY,37700,37700,timing
20230329,512100.SH,ETF,SELL,0,37700,timing
20230406,512100.SH,ETF,BUY,71700,71700,timing
20230407,512100.SH,ETF,BUY,160500,88800,timing
20230410,512100.SH,ETF,BUY,192500,32000,timing
20230411,512100.SH,ETF,SELL,115300,77200,timing
20230412,512100.SH,ETF,SELL,0,115300,timing
20230508,512100.SH,ETF,BUY,47600,47600,timing
20230509,512100.SH,ETF,BUY,135700,88100,timing
20230510,512100.SH,ETF,SELL,0,135700,timing
20230525,512100.SH,ETF,BUY,146000,146000,timing
20230526,512100.SH,ETF,BUY,315500,169500,timing
20230529,512100.SH,ETF,BUY,394900,79400,timing
20230531,512100.SH,ETF,SELL,334100,60800,timing
20230602,512100.SH,ETF,SELL,298000,36100,timing
20230605,512100.SH,ETF,SELL,197400,100600,timing
20230606,512100.SH,ETF,SELL,117000,80400,timing
20230607,512100.SH,ETF,SELL,0,117000,timing
