trade_date,ts_code,bond_name,action,reason,price,shares,proceeds,holding_days,return_pct
2007-07-13,110026,中海转债,BUY,Routine Rebalance Buy,127.78,7822.039833112088,-1000000.0,0,0.0
2007-07-23,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),134.48,7822.039833112088,1051381.9627985351,10,0.05143387071529182
2007-07-24,110026,中海转债,BUY,Routine Rebalance Buy,136.94,7673.846462182484,-1051381.962798535,0,0.0
2007-07-25,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),139.65,7673.846462182484,1071116.832114562,1,0.01878968891485322
2007-08-07,110026,中海转债,BUY,Routine Rebalance Buy,143.97,7436.14323361735,-1071116.8321145617,0,0.0
2007-08-08,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),143.03,7436.14323361735,1063059.7709209374,1,-0.007529138014864212
2007-08-21,110026,中海转债,BUY,Routine Rebalance Buy,146.9,7233.005491270277,-1063059.7709209374,0,0.0
2007-08-22,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),148.52,7233.005491270277,1073708.85257568,1,0.010027910142954455
2007-09-04,110026,中海转债,BUY,Routine Rebalance Buy,163.31,6571.381216352084,-1073708.85257568,0,0.0
2007-09-05,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),163.21,6571.381216352084,1071978.8707566634,1,-0.001612332374012592
2007-09-18,110567,山鹰转债,BUY,Routine Rebalance Buy,142.36,3763.146772906969,-535989.4353783317,0,0.0
2007-09-18,110026,中海转债,BUY,Routine Rebalance Buy,178.5,3001.2413142354967,-535989.4353783317,0,0.0
2007-09-19,110567,山鹰转债,SELL_EMERGENCY,Redemption Warning (>=130),145.15,3763.146772906969,545947.6437104029,1,0.018598201742062392
2007-09-19,110026,中海转债,SELL_EMERGENCY,Redemption Warning (>=130),172.55,3001.2413142354967,517605.2566769494,1,-0.034333333333333216
2007-10-09,110567,山鹰转债,BUY,Routine Rebalance Buy,145.37,3656.2612289072927,-531776.4501936762,0,0.0
