month,long_ret,short_ret,spread,turnover_long,turnover_short,turnover,cost
202301,0.044980,0.010064,0.049414,1.000000,1.000000,2.000000,0.006000
202302,0.056591,0.013864,0.064231,1.347348,1.283426,2.630773,0.007892
202303,0.030245,-0.066322,-0.044282,1.728449,1.498489,3.226937,0.009681
202304,-0.016613,-0.009877,-0.027108,1.495737,1.507400,3.003137,0.009009
202305,0.007929,-0.056148,-0.052852,1.219168,1.399804,2.618971,0.007857
202306,0.000925,-0.005317,-0.007307,1.383984,1.343316,2.727299,0.008182
202307,0.036132,0.210681,0.246938,1.341452,1.378771,2.720223,0.008161
202308,-0.033916,-0.012795,-0.050739,1.891128,1.572155,3.463283,0.010390
202309,-0.016604,0.122663,0.095828,1.772341,1.433869,3.206210,0.009619
202310,0.004582,-0.000178,-0.002983,1.885632,1.733905,3.619536,0.010859
202311,0.048892,-0.006682,0.036916,1.654740,1.302890,2.957629,0.008873
202312,-0.024769,0.008550,-0.024416,1.649885,1.649086,3.298971,0.009897
202401,-0.176771,0.416122,0.169256,1.606001,1.409747,3.015747,0.009047
202402,0.024518,-0.126290,-0.087786,1.859864,1.538110,3.397974,0.010194
202403,0.054518,-0.004767,0.045080,1.845785,1.336003,3.181788,0.009545
202404,-0.017922,0.068095,0.056991,1.693731,1.570926,3.264657,0.009794
202405,-0.021868,0.028017,0.000449,1.659826,1.358324,3.018151,0.009054
202406,-0.101078,0.086525,-0.026171,1.726486,1.492285,3.218772,0.009656
202407,-0.006972,0.030806,0.021423,1.847337,1.593482,3.440819,0.010322
202408,-0.003388,0.125529,0.115427,1.538208,1.534288,3.072497,0.009217
202409,0.242263,-0.172552,0.042493,1.769100,1.703501,3.472601,0.010418
202410,0.099425,-0.193188,-0.095111,1.773485,1.316535,3.090019,0.009270
202411,0.068172,0.084028,0.164080,1.472796,1.513804,2.986600,0.008960
202412,0.004529,0.119545,0.120693,1.477042,1.697732,3.174774,0.009524
202501,-0.019733,-0.047638,-0.067296,1.526567,1.650999,3.177565,0.009533
202502,0.058089,-0.108374,-0.057611,1.286154,1.493762,2.779916,0.008340
202503,0.033984,0.081440,0.111476,1.584136,1.395352,2.979488,0.008938
202504,-0.022919,0.037295,0.025511,1.666327,1.803380,3.469707,0.010409
202505,0.045544,-0.086969,-0.052957,1.560283,1.722625,3.282908,0.009849
202506,0.031827,-0.038238,-0.014416,1.496666,1.455859,2.952525,0.008858
202507,0.046204,0.054438,0.093411,1.689596,1.553409,3.243005,0.009729
202508,0.042721,-0.157183,-0.127649,1.686442,1.703557,3.389999,0.010170
202509,-0.006238,0.075560,0.062408,1.651762,1.376829,3.028591,0.009086
202510,0.014104,0.025208,0.032125,1.465084,1.663571,3.128655,0.009386
202511,0.000074,-0.016081,-0.022158,1.499888,1.550500,3.050388,0.009151
202512,0.012777,-0.017659,-0.013342,1.698615,1.686994,3.385609,0.010157
