trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20230103,0.973337,-0.026663,1.008761,0.970576,0.008761,-0.029424
20230104,0.970305,-0.003115,1.013548,0.962947,0.004746,-0.007861
20230105,0.982156,0.012213,1.019151,0.969384,0.005528,0.006685
20230106,0.983523,0.001391,1.008193,0.981156,-0.010752,0.012144
20230109,0.980416,-0.003158,1.011375,0.974960,0.003156,-0.006315
20230110,0.974770,-0.005759,1.011113,0.969598,-0.000259,-0.005500
20230111,0.972865,-0.001955,1.002967,0.975515,-0.008057,0.006102
20230112,0.989881,0.017491,1.002428,0.993102,-0.000537,0.018028
20230113,1.014967,0.025342,1.016130,1.004695,0.013668,0.011674
20230116,1.038555,0.023241,1.027354,1.016947,0.011046,0.012195
20230117,1.045768,0.006945,1.021206,1.030095,-0.005984,0.012929
20230118,1.062119,0.015635,1.020701,1.046711,-0.000495,0.016130
20230119,1.094728,0.030702,1.030751,1.068540,0.009846,0.020856
20230120,1.079529,-0.013883,1.035671,1.048605,0.004774,-0.018657
20230130,1.063492,-0.014856,1.044341,1.024249,0.008371,-0.023227
20230131,1.049414,-0.013237,1.044980,1.010064,0.000612,-0.013849
20230201,1.035630,-0.013135,1.061166,0.989122,0.015490,-0.020733
20230202,1.051010,0.014851,1.065954,0.999350,0.004511,0.010340
20230203,1.040526,-0.009976,1.065251,0.990039,-0.000659,-0.009316
20230206,1.046526,0.005766,1.066149,0.994913,0.000843,0.004923
20230207,1.047479,0.000911,1.068871,0.993280,0.002553,-0.001642
20230208,1.052742,0.005024,1.067591,0.999460,-0.001198,0.006222
20230209,1.062827,0.009580,1.085764,0.992022,0.017023,-0.007443
20230210,1.083565,0.019512,1.100543,0.997875,0.013612,0.005901
20230213,1.073144,-0.009617,1.107454,0.982012,0.006280,-0.015897
20230214,1.087279,0.013172,1.108206,0.994280,0.000679,0.012492
20230215,1.094084,0.006258,1.119913,0.989999,0.010563,-0.004305
20230216,1.115903,0.019943,1.105621,1.022376,-0.012761,0.032705
20230217,1.119965,0.003640,1.096970,1.034097,-0.007825,0.011464
20230220,1.103543,-0.014663,1.106390,1.010055,0.008587,-0.023250
20230221,1.111708,0.007399,1.106357,1.017558,-0.000029,0.007428
20230222,1.109853,-0.001669,1.106891,1.015369,0.000482,-0.002151
20230223,1.105370,-0.004039,1.099549,1.018002,-0.006633,0.002593
20230224,1.124620,0.017416,1.102973,1.032561,0.003114,0.014302
20230227,1.121870,-0.002446,1.091641,1.040645,-0.010274,0.007829
20230228,1.116820,-0.004502,1.104116,1.024067,0.011428,-0.015930
20230301,1.097444,-0.017349,1.125595,0.996294,0.019453,-0.027121
20230302,1.096557,-0.000808,1.124391,0.996554,-0.001069,0.000261
20230303,1.104268,0.007032,1.116616,1.010453,-0.006915,0.013947
20230306,1.104629,0.000326,1.115050,1.012199,-0.001402,0.001728
20230307,1.090047,-0.013200,1.091399,1.020308,-0.021212,0.008011
20230308,1.098401,0.007664,1.105029,1.015384,0.012489,-0.004825
20230309,1.116649,0.016614,1.114720,1.023349,0.008770,0.007844
20230310,1.142398,0.023059,1.111514,1.049890,-0.002876,0.025935
20230313,1.131032,-0.009950,1.120444,1.031009,0.008034,-0.017983
