trade_date,A0,A1,A2,A3,A4,B1,B2,BENCH
20230103,1.007058,1.007058,1.006110,1.008351,0.998582,0.969454,0.973337,1.022735
20230104,1.013472,1.013472,1.010125,1.012632,1.001657,0.972130,0.970305,1.027075
20230105,1.018948,1.018948,1.015132,1.016753,1.012639,0.980505,0.982156,1.033321
20230106,1.007928,1.007928,1.002029,1.004688,1.000134,0.991122,0.983523,1.031484
20230109,1.011968,1.011968,1.006482,1.008300,1.002960,0.987967,0.980416,1.037533
20230110,1.011341,1.011341,1.005711,1.007750,1.004320,0.979316,0.974770,1.036303
20230111,1.002404,1.002404,0.996085,0.998776,0.994251,0.987799,0.972865,1.027512
20230112,1.003085,1.003085,0.995913,0.999377,0.989322,0.999706,0.989881,1.027794
20230113,1.015584,1.015584,1.010444,1.013411,1.006782,1.025736,1.014967,1.031928
20230116,1.031272,1.031272,1.020019,1.022688,1.015521,1.051963,1.038555,1.043385
20230117,1.028554,1.028554,1.015631,1.017291,1.010394,1.060730,1.045768,1.042393
20230118,1.027738,1.027738,1.014744,1.017312,1.007759,1.071464,1.062119,1.047174
20230119,1.037645,1.037645,1.024159,1.026680,1.019922,1.100588,1.094728,1.054229
20230120,1.045866,1.045866,1.029637,1.032104,1.024055,1.094882,1.079529,1.062811
20230130,1.053183,1.053183,1.038386,1.041253,1.025960,1.073899,1.063492,1.077088
20230131,1.052727,1.052727,1.038269,1.042104,1.020820,1.062599,1.049414,1.082633
20230201,1.063283,1.063283,1.047290,1.051503,1.030622,1.049387,1.035630,1.100617
20230202,1.068180,1.068180,1.052514,1.055271,1.036398,1.064150,1.051010,1.103225
20230203,1.065856,1.065856,1.049134,1.052381,1.034306,1.061396,1.040526,1.103340
20230206,1.066020,1.066020,1.049671,1.052319,1.033336,1.066575,1.046526,1.100972
20230207,1.069238,1.069238,1.052964,1.056312,1.032459,1.069102,1.047479,1.108708
20230208,1.066931,1.066931,1.051347,1.054139,1.029526,1.075923,1.052742,1.103498
20230209,1.081024,1.081024,1.068181,1.069263,1.047228,1.080597,1.062827,1.118870
20230210,1.095711,1.095711,1.083712,1.082604,1.065731,1.106587,1.083565,1.117836
20230213,1.104902,1.104902,1.089841,1.087431,1.078578,1.100481,1.073144,1.129492
20230214,1.109565,1.109565,1.091482,1.089850,1.080840,1.107151,1.087279,1.130406
20230215,1.114715,1.114715,1.099346,1.097504,1.087250,1.110751,1.094084,1.133027
20230216,1.096137,1.096137,1.087404,1.083096,1.078611,1.130605,1.115903,1.108479
20230217,1.091470,1.091470,1.080930,1.076777,1.070915,1.130717,1.119965,1.102864
20230220,1.099940,1.099940,1.089614,1.086439,1.080940,1.118441,1.103543,1.116404
20230221,1.102252,1.102252,1.091302,1.089856,1.077788,1.126039,1.111708,1.120689
20230222,1.103167,1.103167,1.090591,1.090366,1.073320,1.125669,1.109853,1.122744
20230223,1.099334,1.099334,1.084398,1.084040,1.068115,1.120216,1.105370,1.120430
20230224,1.102950,1.102950,1.085122,1.084635,1.067271,1.137861,1.124620,1.117671
20230227,1.091818,1.091818,1.076898,1.075624,1.061945,1.133208,1.121870,1.108008
20230228,1.105250,1.105250,1.090082,1.088119,1.073261,1.133570,1.116820,1.118274
20230301,1.114855,1.114855,1.098245,1.093752,1.081207,1.120316,1.097444,1.128214
20230302,1.112472,1.112472,1.094836,1.091065,1.080829,1.127905,1.096557,1.123969
20230303,1.107356,1.107356,1.094562,1.091445,1.077520,1.139630,1.104268,1.123965
20230306,1.107828,1.107828,1.094970,1.091541,1.076305,1.138069,1.104629,1.125681
20230307,1.082546,1.082546,1.073830,1.071466,1.056038,1.121498,1.090047,1.103511
20230308,1.099417,1.099417,1.085706,1.081973,1.067955,1.133850,1.098401,1.113316
