trade_date,nav,daily_ret
20230504,1.012002,0.012002
20230505,1.006237,-0.005696
20230508,1.010350,0.004087
20230509,1.002361,-0.007907
20230510,1.001741,-0.000618
20230511,1.009915,0.008159
20230512,1.001502,-0.008330
20230515,0.999988,-0.001512
20230516,0.989430,-0.010558
20230517,0.994104,0.004724
20230518,0.997150,0.003064
20230519,0.996968,-0.000182
20230522,0.998079,0.001114
20230523,0.988563,-0.009535
20230524,0.986134,-0.002457
20230525,0.982914,-0.003265
20230526,0.988834,0.006023
20230529,0.983802,-0.005089
20230530,0.987628,0.003890
20230531,0.989020,0.001409
20230601,0.984432,-0.004639
20230602,0.996070,0.011822
20230605,1.002569,0.006525
20230606,0.996192,-0.006361
20230607,1.011216,0.015082
20230608,1.016517,0.005243
20230609,1.021739,0.005137
20230612,1.025702,0.003879
20230613,1.032794,0.006914
20230614,1.033088,0.000284
20230615,1.032380,-0.000685
20230616,1.034282,0.001842
20230619,1.024794,-0.009173
20230620,1.016011,-0.008571
20230621,0.999385,-0.016363
20230626,0.982998,-0.016398
20230627,1.001685,0.019011
20230628,0.999187,-0.002494
20230629,1.003859,0.004675
20230630,1.019373,0.015455
20230703,1.027422,0.007896
20230704,1.032408,0.004852
20230705,1.027300,-0.004947
20230706,1.027964,0.000646
20230707,1.023843,-0.004009
20230710,1.027199,0.003278
20230711,1.032810,0.005462
20230712,1.018468,-0.013886
20230713,1.028765,0.010110
20230714,1.032058,0.003201
20230717,1.032225,0.000161
20230718,1.033315,0.001056
20230719,1.035790,0.002395
20230720,1.029295,-0.006270
20230721,1.033354,0.003943
20230724,1.037288,0.003807
20230725,1.053984,0.016096
20230726,1.052498,-0.001410
20230727,1.048562,-0.003740
20230728,1.058297,0.009285
20230731,1.073531,0.014395
20230801,1.068064,-0.005092
20230802,1.072007,0.003691
20230803,1.067295,-0.004395
20230804,1.065826,-0.001376
20230807,1.059495,-0.005940
20230808,1.058417,-0.001017
20230809,1.044495,-0.013154
20230810,1.048546,0.003878
20230811,1.035452,-0.012488
20230814,1.035868,0.000402
