factor,signal_date,ic,n
roe_cs,20230531,0.103208,1547
roe_cs,20230630,-0.098147,1546
roe_cs,20230731,0.037925,1549
roe_cs,20230831,0.038388,1548
roe_cs,20230928,-0.091402,1546
roe_cs,20231031,-0.011187,1549
roe_cs,20231130,0.080232,1548
roe_cs,20231229,0.077306,1547
roe_cs,20240131,0.094630,1549
roe_cs,20240229,0.066034,1549
roe_cs,20240329,0.127967,1548
roe_cs,20240430,0.072160,1549
roe_cs,20240531,0.109359,1555
roe_cs,20240628,-0.088938,1558
roe_cs,20240731,-0.054385,1556
roe_cs,20240830,-0.140207,1555
roe_cs,20240930,-0.112040,1555
roe_cs,20241031,0.061693,1554
roe_cs,20241129,0.149329,1553
roe_cs,20241231,0.245434,1550
roe_cs,20250127,-0.163973,1555
roe_cs,20250228,0.183684,1554
roe_cs,20250331,-0.054853,1554
roe_cs,20250430,-0.011804,1542
roe_cs,20250530,0.039984,1548
roe_cs,20250630,0.050627,1549
roe_cs,20250731,0.025254,1550
roe_cs,20250829,0.042684,1552
roe_cs,20250930,0.033905,1550
roe_cs,20251031,-0.040994,1550
roe_cs,20251128,0.078481,1550
or_yoy_cs,20230531,0.042293,1561
or_yoy_cs,20230630,-0.114095,1560
or_yoy_cs,20230731,0.005077,1563
or_yoy_cs,20230831,-0.011759,1563
or_yoy_cs,20230928,-0.025494,1561
or_yoy_cs,20231031,-0.003222,1564
or_yoy_cs,20231130,-0.009403,1563
or_yoy_cs,20231229,0.020697,1562
or_yoy_cs,20240131,0.079859,1564
or_yoy_cs,20240229,0.055491,1564
or_yoy_cs,20240329,0.050952,1561
or_yoy_cs,20240430,0.044312,1555
or_yoy_cs,20240531,0.090864,1561
or_yoy_cs,20240628,-0.050480,1564
or_yoy_cs,20240731,-0.063760,1562
or_yoy_cs,20240830,-0.090279,1562
or_yoy_cs,20240930,-0.083693,1562
or_yoy_cs,20241031,0.013448,1562
or_yoy_cs,20241129,0.106630,1560
or_yoy_cs,20241231,0.130582,1557
or_yoy_cs,20250127,-0.075359,1563
or_yoy_cs,20250228,0.054950,1562
or_yoy_cs,20250331,-0.038302,1561
or_yoy_cs,20250430,0.033088,1553
or_yoy_cs,20250530,0.003537,1560
or_yoy_cs,20250630,0.024411,1561
or_yoy_cs,20250731,0.034406,1562
or_yoy_cs,20250829,-0.011135,1564
or_yoy_cs,20250930,-0.019424,1562
or_yoy_cs,20251031,-0.081767,1562
or_yoy_cs,20251128,0.069014,1563
