signal_date,next_signal_date,ic,n
20221230,20230131,0.119581,4898
20230131,20230228,0.233916,4899
20230228,20230331,0.148035,4917
20230331,20230428,0.008272,4942
20230428,20230531,0.086632,4939
20230531,20230630,-0.007416,4965
20230630,20230731,0.262696,5000
20230731,20230831,0.079358,5022
20230831,20230928,0.175301,5048
20230928,20231031,0.080765,5059
20231031,20231130,0.152583,5071
20231130,20231229,0.095342,5080
20231229,20240131,0.106826,5089
20240131,20240229,-0.071553,5100
20240229,20240329,0.065920,5102
20240329,20240430,0.224785,5108
20240430,20240531,0.038190,5052
20240531,20240628,-0.036932,5091
20240628,20240731,0.109630,5088
20240731,20240830,0.157734,5084
20240830,20240930,0.018488,5087
20240930,20241031,-0.063011,5091
20241031,20241129,0.252088,5092
20241129,20241231,0.250966,5105
20241231,20250127,0.124752,5107
20250127,20250228,0.005593,5118
20250228,20250331,0.269160,5119
20250331,20250430,0.080988,5128
20250430,20250530,0.104221,5097
20250530,20250630,0.116528,5119
20250630,20250731,0.176694,5138
20250731,20250829,0.001433,5140
20250829,20250930,0.120602,5141
20250930,20251031,0.160414,5147
20251031,20251128,0.099109,5153
20251128,20251231,0.101222,5149
