trade_date,nav_q1,daily_ret_q1,nav_q5,daily_ret_q5
20230103,1.019965,0.019965,1.003123,0.003123
20230104,1.029864,0.009705,1.005077,0.001948
20230105,1.037127,0.007053,1.011107,0.006000
20230106,1.032414,-0.004544,0.998564,-0.012405
20230109,1.041043,0.008358,1.001283,0.002723
20230110,1.041314,0.000260,1.009618,0.008324
20230111,1.027355,-0.013405,1.000637,-0.008895
20230112,1.030050,0.002623,0.995629,-0.005005
20230113,1.041327,0.010947,1.016401,0.020863
20230116,1.066392,0.024070,1.027274,0.010698
20230117,1.064615,-0.001666,1.021165,-0.005947
20230118,1.067491,0.002701,1.021232,0.000065
20230119,1.078102,0.009940,1.029697,0.008289
20230120,1.089694,0.010752,1.033008,0.003215
20230130,1.105008,0.014054,1.033873,0.000838
20230131,1.103852,-0.001047,1.028176,-0.005510
20230201,1.119882,0.014522,1.034385,0.006039
20230202,1.122154,0.002029,1.034113,-0.000263
20230203,1.124316,0.001927,1.030368,-0.003621
20230206,1.128379,0.003614,1.027684,-0.002605
20230207,1.133651,0.004672,1.029930,0.002185
20230208,1.133042,-0.000537,1.028596,-0.001295
20230209,1.143879,0.009565,1.046646,0.017549
20230210,1.151236,0.006432,1.050913,0.004076
20230213,1.163418,0.010581,1.058686,0.007396
20230214,1.163658,0.000206,1.059654,0.000915
20230215,1.165633,0.001698,1.061127,0.001389
20230216,1.133867,-0.027252,1.050091,-0.010400
20230217,1.132683,-0.001044,1.040159,-0.009458
20230220,1.141833,0.008078,1.056582,0.015789
20230221,1.145253,0.002996,1.060653,0.003853
20230222,1.149932,0.004085,1.058274,-0.002243
20230223,1.146860,-0.002671,1.054847,-0.003238
20230224,1.152962,0.005321,1.052397,-0.002323
20230227,1.136690,-0.014113,1.045714,-0.006351
20230228,1.150895,0.012497,1.055094,0.008970
20230301,1.167412,0.014352,1.059249,0.003938
20230302,1.166353,-0.000908,1.060582,0.001259
20230303,1.158891,-0.006397,1.059051,-0.001444
20230306,1.158044,-0.000731,1.063930,0.004607
20230307,1.127978,-0.025963,1.043854,-0.018870
20230308,1.149640,0.019205,1.048392,0.004348
20230309,1.169052,0.016885,1.048418,0.000025
20230310,1.158732,-0.008827,1.037136,-0.010761
20230313,1.160970,0.001931,1.040718,0.003453
20230314,1.147296,-0.011778,1.034868,-0.005621
20230315,1.150623,0.002900,1.039587,0.004560
20230316,1.141547,-0.007888,1.029436,-0.009765
20230317,1.160602,0.016693,1.036162,0.006534
20230320,1.158300,-0.001983,1.024022,-0.011716
20230321,1.185674,0.023633,1.036706,0.012386
20230322,1.203237,0.014812,1.038478,0.001709
20230323,1.200745,-0.002071,1.043973,0.005292
20230324,1.207888,0.005948,1.039806,-0.003992
20230327,1.204090,-0.003144,1.043451,0.003506
20230328,1.193086,-0.009139,1.044066,0.000590
20230329,1.191617,-0.001232,1.039199,-0.004662
20230330,1.170723,-0.017534,1.044152,0.004766
20230331,1.178755,0.006861,1.055356,0.010730
20230403,1.189534,0.009145,1.069116,0.013038
20230404,1.177686,-0.009961,1.070744,0.001523
20230406,1.177526,-0.000136,1.077962,0.006741
20230407,1.184480,0.005905,1.086494,0.007915
20230410,1.173287,-0.009450,1.071679,-0.013636
20230411,1.174578,0.001100,1.076236,0.004253
20230412,1.197721,0.019704,1.090586,0.013333
20230413,1.193801,-0.003274,1.077689,-0.011826
20230414,1.198155,0.003647,1.080690,0.002784
20230417,1.197260,-0.000747,1.074573,-0.005660
20230418,1.181117,-0.013483,1.069952,-0.004301
20230419,1.175465,-0.004786,1.063071,-0.006431
20230420,1.173189,-0.001936,1.063469,0.000375
20230421,1.120446,-0.044957,1.029988,-0.031483
20230424,1.118441,-0.001790,1.024185,-0.005634
20230425,1.085681,-0.029291,1.006416,-0.017350
20230426,1.096289,0.009771,1.005859,-0.000553
20230427,1.097626,0.001220,1.006584,0.000720
20230428,1.125030,0.024966,1.020961,0.014284
20230504,1.127591,0.002277,1.020192,-0.000753
20230505,1.127352,-0.000212,1.012568,-0.007473
20230508,1.124921,-0.002156,1.017072,0.004448
20230509,1.102619,-0.019825,1.005371,-0.011505
20230510,1.109728,0.006448,1.005280,-0.000090
20230511,1.125012,0.013772,1.008113,0.002818
20230512,1.116150,-0.007877,0.992357,-0.015629
20230515,1.120599,0.003986,0.997117,0.004796
20230516,1.115506,-0.004544,0.984774,-0.012378
20230517,1.136918,0.019194,0.990869,0.006189
20230518,1.152270,0.013503,0.995306,0.004478
20230519,1.161482,0.007994,0.995043,-0.000264
20230522,1.172914,0.009843,0.995522,0.000481
20230523,1.170903,-0.001715,0.984436,-0.011137
20230524,1.179926,0.007706,0.979379,-0.005137
20230525,1.176278,-0.003091,0.972460,-0.007064
20230526,1.173787,-0.002118,0.981457,0.009252
20230529,1.158907,-0.012676,0.976450,-0.005101
20230530,1.170879,0.010330,0.982481,0.006176
20230531,1.181856,0.009375,0.985264,0.002833
20230601,1.169894,-0.010122,0.991038,0.005860
20230602,1.183295,0.011455,0.995658,0.004662
20230605,1.195400,0.010230,0.996966,0.001314
20230606,1.167247,-0.023551,0.973764,-0.023273
20230607,1.177254,0.008573,0.978058,0.004409
20230608,1.166769,-0.008906,0.963553,-0.014830
20230609,1.164905,-0.001597,0.965762,0.002292
20230612,1.178600,0.011756,0.968362,0.002692
20230613,1.195229,0.014110,0.978187,0.010146
20230614,1.188549,-0.005589,0.971647,-0.006686
20230615,1.177303,-0.009462,0.985534,0.014292
20230616,1.179818,0.002137,0.992561,0.007130
20230619,1.186121,0.005342,0.994065,0.001515
20230620,1.171822,-0.012056,1.004219,0.010215
20230621,1.149645,-0.018924,0.976349,-0.027753
20230626,1.123380,-0.022847,0.954063,-0.022826
20230627,1.146417,0.020507,0.958875,0.005044
20230628,1.140151,-0.005466,0.953424,-0.005685
20230629,1.162939,0.019987,0.955004,0.001657
20230630,1.184176,0.018261,0.964739,0.010194
20230703,1.182466,-0.001444,0.964261,-0.000495
20230704,1.201715,0.016278,0.967066,0.002909
20230705,1.207389,0.004722,0.959725,-0.007591
20230706,1.217221,0.008143,0.955150,-0.004767
20230707,1.206740,-0.008611,0.952518,-0.002755
20230710,1.201765,-0.004122,0.960912,0.008812
20230711,1.212706,0.009104,0.964173,0.003394
20230712,1.200018,-0.010463,0.954477,-0.010057
20230713,1.207580,0.006302,0.967889,0.014052
20230714,1.220777,0.010929,0.968946,0.001092
20230717,1.222265,0.001219,0.965774,-0.003274
20230718,1.222278,0.000011,0.962194,-0.003707
20230719,1.218947,-0.002725,0.964559,0.002458
20230720,1.198071,-0.017126,0.953131,-0.011847
20230721,1.189810,-0.006895,0.955331,0.002308
20230724,1.195431,0.004724,0.956595,0.001323
20230725,1.216279,0.017440,0.969721,0.013722
20230726,1.221618,0.004389,0.963095,-0.006833
20230727,1.209517,-0.009905,0.957353,-0.005962
20230728,1.213751,0.003500,0.967928,0.011046
20230731,1.220751,0.005767,0.978288,0.010704
20230801,1.206176,-0.011939,0.972790,-0.005620
20230802,1.210151,0.003296,0.975838,0.003133
20230803,1.201091,-0.007487,0.976846,0.001033
20230804,1.200361,-0.000608,0.977744,0.000920
20230807,1.189996,-0.008635,0.968689,-0.009262
20230808,1.191259,0.001061,0.963319,-0.005544
20230809,1.180913,-0.008686,0.954889,-0.008751
20230810,1.187862,0.005885,0.952979,-0.002000
