factor,signal_date,ic,n
ret_1m_cs,20200228,0.156580,3766
ret_1m_cs,20200331,0.126830,3779
ret_1m_cs,20200430,-0.050772,3751
ret_1m_cs,20200529,-0.021809,3799
ret_1m_cs,20200630,0.072396,3813
ret_1m_cs,20200731,0.064727,3858
ret_1m_cs,20200831,-0.035459,3901
ret_1m_cs,20200930,-0.112174,3964
ret_1m_cs,20201030,0.175132,4018
ret_1m_cs,20201130,-0.014502,4052
ret_1m_cs,20201231,0.030616,4078
ret_1m_cs,20210129,0.186919,4124
ret_1m_cs,20210226,0.004757,4149
ret_1m_cs,20210331,0.084962,4187
ret_1m_cs,20210430,-0.071260,4198
ret_1m_cs,20210531,0.020893,4276
ret_1m_cs,20210630,-0.035206,4321
ret_1m_cs,20210730,0.019812,4374
ret_1m_cs,20210831,0.138308,4421
ret_1m_cs,20210930,0.143573,4447
ret_1m_cs,20211029,0.090718,4488
ret_1m_cs,20211130,0.160881,4522
ret_1m_cs,20211231,-0.006097,4561
ret_1m_cs,20220128,0.032687,4598
ret_1m_cs,20220228,-0.056180,4625
ret_1m_cs,20220331,0.067578,4640
ret_1m_cs,20220429,0.172242,4649
ret_1m_cs,20220531,0.014083,4674
ret_1m_cs,20220630,0.045619,4692
ret_1m_cs,20220729,0.065121,4716
ret_1m_cs,20220831,-0.025287,4753
ret_1m_cs,20220930,0.067193,4787
ret_1m_cs,20221031,0.225250,4822
ret_1m_cs,20221130,0.073532,4860
low_vol_cs,20200228,0.306525,3767
low_vol_cs,20200331,-0.000098,3779
low_vol_cs,20200430,0.084929,3753
low_vol_cs,20200529,-0.062069,3800
low_vol_cs,20200630,0.116789,3816
low_vol_cs,20200731,0.211637,3860
low_vol_cs,20200831,0.089128,3903
low_vol_cs,20200930,-0.106837,3968
low_vol_cs,20201030,0.185375,4019
low_vol_cs,20201130,0.025810,4053
low_vol_cs,20201231,0.081713,4081
low_vol_cs,20210129,0.144544,4125
low_vol_cs,20210226,0.163992,4151
low_vol_cs,20210331,0.086509,4189
low_vol_cs,20210430,-0.098277,4203
low_vol_cs,20210531,0.059729,4279
low_vol_cs,20210630,0.042856,4323
low_vol_cs,20210730,0.095524,4375
low_vol_cs,20210831,0.214076,4424
low_vol_cs,20210930,0.061299,4449
low_vol_cs,20211029,0.021816,4489
low_vol_cs,20211130,0.280709,4525
low_vol_cs,20211231,0.276704,4561
low_vol_cs,20220128,-0.024455,4598
low_vol_cs,20220228,0.053770,4625
low_vol_cs,20220331,0.180189,4642
low_vol_cs,20220429,-0.050603,4650
low_vol_cs,20220531,0.045178,4674
low_vol_cs,20220630,0.059517,4692
low_vol_cs,20220729,0.186369,4717
low_vol_cs,20220831,0.084246,4755
low_vol_cs,20220930,0.061013,4792
low_vol_cs,20221031,0.086747,4824
low_vol_cs,20221130,0.096153,4861
ivol_cs,20200228,0.319390,3741
ivol_cs,20200331,-0.012731,3757
ivol_cs,20200430,0.103844,3734
ivol_cs,20200529,-0.015805,3771
ivol_cs,20200630,0.102162,3786
ivol_cs,20200731,0.194047,3820
ivol_cs,20200831,0.127673,3845
ivol_cs,20200930,0.001308,3895
ivol_cs,20201030,0.182455,3950
ivol_cs,20201130,0.024309,4013
ivol_cs,20201231,0.047214,4045
ivol_cs,20210129,0.124647,4071
ivol_cs,20210226,0.155379,4106
ivol_cs,20210331,0.048254,4146
ivol_cs,20210430,-0.096256,4150
ivol_cs,20210531,0.072239,4215
ivol_cs,20210630,0.065421,4268
ivol_cs,20210730,0.101364,4315
ivol_cs,20210831,0.195469,4372
ivol_cs,20210930,-0.016383,4406
ivol_cs,20211029,-0.004814,4445
ivol_cs,20211130,0.277419,4483
ivol_cs,20211231,0.308632,4518
ivol_cs,20220128,0.014432,4552
ivol_cs,20220228,0.077524,4587
ivol_cs,20220331,0.166764,4620
ivol_cs,20220429,0.000317,4610
ivol_cs,20220531,0.077760,4636
ivol_cs,20220630,0.087954,4669
ivol_cs,20220729,0.180288,4686
ivol_cs,20220831,0.096363,4718
ivol_cs,20220930,0.062303,4742
ivol_cs,20221031,0.077373,4774
ivol_cs,20221130,0.061629,4825
turn_20d_cs,20200228,0.285587,3774
turn_20d_cs,20200331,-0.000722,3783
turn_20d_cs,20200430,0.102507,3758
turn_20d_cs,20200529,-0.077122,3804
turn_20d_cs,20200630,0.107980,3820
turn_20d_cs,20200731,0.202092,3872
turn_20d_cs,20200831,0.098812,3917
turn_20d_cs,20200930,-0.108930,3982
turn_20d_cs,20201030,0.156482,4027
turn_20d_cs,20201130,0.029444,4058
turn_20d_cs,20201231,0.028272,4091
turn_20d_cs,20210129,0.155996,4129
turn_20d_cs,20210226,0.161323,4159
turn_20d_cs,20210331,0.095003,4194
turn_20d_cs,20210430,-0.038750,4214
turn_20d_cs,20210531,0.150332,4292
turn_20d_cs,20210630,0.076569,4335
turn_20d_cs,20210730,0.124027,4383
turn_20d_cs,20210831,0.169301,4437
turn_20d_cs,20210930,0.039414,4462
turn_20d_cs,20211029,0.123063,4496
turn_20d_cs,20211130,0.245944,4537
turn_20d_cs,20211231,0.288616,4571
turn_20d_cs,20220128,-0.019530,4608
turn_20d_cs,20220228,0.059788,4629
turn_20d_cs,20220331,0.112099,4653
turn_20d_cs,20220429,0.064146,4656
turn_20d_cs,20220531,0.019999,4678
turn_20d_cs,20220630,0.156016,4695
turn_20d_cs,20220729,0.196093,4722
turn_20d_cs,20220831,0.104122,4768
turn_20d_cs,20220930,0.115742,4801
turn_20d_cs,20221031,0.052150,4830
turn_20d_cs,20221130,0.079649,4867
oi_spread_cs,20200228,0.104891,3774
oi_spread_cs,20200331,0.161701,3783
oi_spread_cs,20200430,0.080429,3758
oi_spread_cs,20200529,0.041459,3804
oi_spread_cs,20200630,0.077009,3820
oi_spread_cs,20200731,0.054905,3872
oi_spread_cs,20200831,-0.036285,3917
oi_spread_cs,20200930,-0.095195,3982
oi_spread_cs,20201030,0.121344,4027
oi_spread_cs,20201130,0.009501,4058
oi_spread_cs,20201231,0.056874,4091
oi_spread_cs,20210129,0.115444,4129
oi_spread_cs,20210226,0.007223,4159
oi_spread_cs,20210331,0.102265,4194
oi_spread_cs,20210430,-0.041515,4214
oi_spread_cs,20210531,0.011231,4292
oi_spread_cs,20210630,-0.023500,4335
oi_spread_cs,20210730,0.061338,4383
oi_spread_cs,20210831,0.106728,4437
oi_spread_cs,20210930,0.066433,4462
oi_spread_cs,20211029,0.089904,4496
oi_spread_cs,20211130,0.124711,4537
oi_spread_cs,20211231,0.049897,4571
oi_spread_cs,20220128,0.022729,4608
oi_spread_cs,20220228,-0.036925,4629
oi_spread_cs,20220331,0.069094,4653
oi_spread_cs,20220429,0.139092,4656
oi_spread_cs,20220531,0.044880,4678
oi_spread_cs,20220630,0.061966,4695
oi_spread_cs,20220729,0.099426,4722
oi_spread_cs,20220831,0.062401,4768
oi_spread_cs,20220930,0.062538,4801
oi_spread_cs,20221031,0.142055,4830
oi_spread_cs,20221130,0.069706,4867
